,best_match_score,__id_left,__id_right,Unnamed: 0,Unnamed: 0.1,wine_name_left,wine_country_left,wine_region_left,wine_year_left,wine_type_left,wine_price_left,wine_url,wine_thumb_left,wine_description,wine_seller,taste_id,wine_id,wine_name_right,wine_winery,wine_alcohol,wine_type_right,wine_year_right,wine_country_right,wine_region_right,wine_price_right,wine_structure,wine_tastes,wine_rating,wine_thumb_right
17476,2.2418553388462326,229_left,10724_right,251,251,Domaine Blain-Gagnard Chassagne-Montrachet Rouge 1er Cru Clos Saint Jean,Frankreich,Bourgogne,2017.0,red,55.0,https://www.wein-direktimport.de/weine/frankreich/bourgogne/cote-d-or/domaine-blain-gagnard/2893/2017-chassagne-montrachet-rouge-1er-cru-clos-saint-jean?c=362,https://www.wein-direktimport.de/media/image/ab/4e/03/2017-Chass-Montra-1er-Cru-Clos-St-Jean-ROUGE_200x300.jpg," Der 2017 Chassagne Montrachet Premier Cru Clos Saint Jean begeisterte uns im März 2018 (Faßprobe) mit der unglaublich präzisen, präsenten Aromatik. Die großartige, geschmeidige Struktur wird ergänzt von wunderbar saftiger, fast süßlicher Frucht und reifen Gerbstoffen. Bereits jetzt unglaublich charmant und nach 60 Minuten Aufenthalt im Dekanter prêt à boire.",1,,5338944,Domaine Blain-Gagnard Chassagne-Montrachet Premier Cru 'Clos Saint Jean' Rouge,Domaine Blain-Gagnard,0.0,red,,France,Chassagne-Montrachet 1er Cru 'Clos Saint Jean',0.0,"{'acidity': 0.721785675, 'fizziness': 0, 'intensity': 0.38013232500000005, 'sweetness': 0.16038360000000002, 'tannin': 0.333161425}","{'black_fruit': 0.09090909090909091, 'citrus_fruit': 0, 'dried_fruit': 0, 'earth': 1.0, 'floral': 0, 'microbio': 0.0, 'non_oak': 0.18181818181818182, 'oak': 0.18181818181818182, 'red_fruit': 0.7272727272727273, 'spices': 0.18181818181818182, 'tree_fruit': 0, 'tropical_fruit': 0, 'vegetal': 0.0}",4.0,//images.vivino.com/thumbs/qCdOIecwRPGd6PLruYVqOQ_pl_480x640.png
3826,2.23837299764613,62_left,7778_right,70,70,Celler de Capçanes Peraj Ha'abib Flor de Primavera,Spanien,Tarragona,2018.0,red,25.9,https://www.wein-direktimport.de/weine/spanien/region-tarragona/celler-de-capcanes/4272/2019-peraj-ha-abib-flor-de-primavera?c=362,https://www.wein-direktimport.de/media/image/46/74/cf/2019-PerajHaabib-ZIP_200x300.jpg," Decanter World Wine Awards 2021, Peraj Ha’abib 2019: „Very fresh, juicy and drinkable style, with well-managed oak and plenty of character: bay leaf, sloe and fruit bun. Long, with gently chewy tannins.“",1,,1117429,Celler de Capçanes Flor de Primavera Peraj Ha'abib,Celler de Capçanes,0.0,red,2018,Spanien,Montsant,26.0,"{'acidity': 0.62716175, 'fizziness': 0, 'intensity': 0.8198154, 'sweetness': 0.2306438, 'tannin': 0.55608005}","{'black_fruit': 0.9876543209876543, 'citrus_fruit': 0.024691358024691357, 'dried_fruit': 0.16049382716049382, 'earth': 0.7901234567901234, 'floral': 0.012345679012345678, 'microbio': 0.037037037037037035, 'non_oak': 0.12345679012345678, 'oak': 1.0, 'red_fruit': 0.3333333333333333, 'spices': 0.24691358024691357, 'tree_fruit': 0.012345679012345678, 'tropical_fruit': 0, 'vegetal': 0.024691358024691357}",4.3,//images.vivino.com/thumbs/MVgHNU1dRvu_s2hAS43uhA_pl_480x640.png
17336,2.0672718542695168,228_left,10760_right,250,250,Domaine Blain-Gagnard Chassagne-Montrachet Rouge 1er Cru Morgeot,Frankreich,Bourgogne,2017.0,red,55.0,https://www.wein-direktimport.de/weine/frankreich/bourgogne/cote-d-or/domaine-blain-gagnard/2894/2017-chassagne-montrachet-rouge-1er-cru-morgeot?c=362,https://www.wein-direktimport.de/media/image/d1/4c/55/2017-Chass-Montra-1er-Cru-Morgeot-rouge_200x300.jpg," Der 2017 Chassagne-Montrachet Rouge 1er cru Morgeot ist ein druckvoller, dichter Rotwein und ausgesprochen typisch für diese wunderbare Lage. Die Nase ist hinreißend, viel dunkle Beere, Süß- und Sauerkirschen. Am Gaumen ist er kraftvoll, die Gerbstoffe sind derzeit noch etwas präsent aber bereits perfekt in die saftige, intensive Frucht eingebettet. Trotz aller Würze bleibt der Wein elegant. Dekantieren nicht vergessen, 60 Minuten reichen aus.",1,,5339117,Domaine Blain-Gagnard Chassagne-Montrachet Premier Cru 'Morgeot' Rouge,Domaine Blain-Gagnard,0.0,red,,France,Chassagne-Montrachet 1er Cru 'Morgeot',0.0,"{'acidity': 0.7404385, 'fizziness': 0, 'intensity': 0.47530700000000004, 'sweetness': 0.02436402500000001, 'tannin': 0.3479787}","{'black_fruit': 0.3333333333333333, 'citrus_fruit': 0, 'dried_fruit': 0, 'earth': 0.3333333333333333, 'floral': 0, 'microbio': 0, 'non_oak': 0.0, 'oak': 0.3333333333333333, 'red_fruit': 1.0, 'spices': 0, 'tree_fruit': 0, 'tropical_fruit': 0, 'vegetal': 0}",4.0,//images.vivino.com/thumbs/BKW6Kp8xQG-pLu_762nYNA_pl_480x640.png
13426,2.0576260882748474,185_left,10281_right,202,202,Domaine Hudelot-Noëllat Vougeot 1er Cru 'Les Petits Vougeots',Frankreich,Bourgogne,2018.0,red,95.0,https://www.wein-direktimport.de/weine/frankreich/bourgogne/cote-d-or/hudelot-noellat/3459/2018-vougeot-1er-cru-les-petits-vougeots?c=362,https://www.wein-direktimport.de/media/image/e8/87/f6/Vougeot-1er-Pet-VougeotXsQqVpPQj7ohJ_200x300.jpg," William Kelley, Wine Advocate, Januar 2020: „The 2018 Vougeot 1er Cru Les Petits Vougeot has turned out very well, opening in the glass with a lovely bouquet of cassis and plums, complemented by top notes of woodsmoke and violets. On the palate, the wine is medium to full-bodied, supple and fleshy, with a bright spine of acidity and a fragrant, precise finish. A Chambolle-Musigny in all but name, this is an elegant and exquisitely balanced cuvée.“",1,,1127397,Hudelot-Noëllat Vougeot 1er Cru 'Les Petits Vougeots',Hudelot-Noëllat,0.0,red,,France,Vougeot 1er Cru 'Les Petits Vougeots',0.0,"{'acidity': 0.781796575, 'fizziness': 0, 'intensity': 0.5041085, 'sweetness': 0.20274999999999999, 'tannin': 0.4447093}","{'black_fruit': 0.375, 'citrus_fruit': 0.0625, 'dried_fruit': 0, 'earth': 0.9166666666666666, 'floral': 0.10416666666666667, 'microbio': 0.020833333333333332, 'non_oak': 0.020833333333333332, 'oak': 0.4166666666666667, 'red_fruit': 1.0, 'spices': 0.3541666666666667, 'tree_fruit': 0.041666666666666664, 'tropical_fruit': 0, 'vegetal': 0.041666666666666664}",4.1,//images.vivino.com/thumbs/J3q9NrCZQnCLXcOa483nQQ_pl_480x640.png
18156,2.0576260882748474,244_left,10281_right,269,269,Domaine Hudelot-Noëllat Vougeot 1er Cru 'Les Petits Vougeots',Frankreich,Bourgogne,2017.0,red,95.0,https://www.wein-direktimport.de/weine/frankreich/bourgogne/cote-d-or/hudelot-noellat/2562/2017-vougeot-1er-cru-les-petits-vougeots?c=362,https://www.wein-direktimport.de/media/image/0a/ac/ea/Vougeot-1er-Pet-Vougeot_200x300.jpg," William Kelley, wine advocate, Januar 2019: „The 2017 Vougeot 1er Cru Les Petits Vougeot offers up notes of plums, ripe berries, dark chocolate and rose petal, displaying darker fruit tones than is typical of this frequently red-fruited and ethereal cuvée. Perhaps it was just the day I tasted it. On the palate, the wine is medium-bodied, nicely concentrated and fine-boned, with succulent acids and a precise, mineral finish. A Chambolle in spirit, it's a perennial value in the Hudelot-Noëllat portfolio.“",1,,1127397,Hudelot-Noëllat Vougeot 1er Cru 'Les Petits Vougeots',Hudelot-Noëllat,0.0,red,,France,Vougeot 1er Cru 'Les Petits Vougeots',0.0,"{'acidity': 0.781796575, 'fizziness': 0, 'intensity': 0.5041085, 'sweetness': 0.20274999999999999, 'tannin': 0.4447093}","{'black_fruit': 0.375, 'citrus_fruit': 0.0625, 'dried_fruit': 0, 'earth': 0.9166666666666666, 'floral': 0.10416666666666667, 'microbio': 0.020833333333333332, 'non_oak': 0.020833333333333332, 'oak': 0.4166666666666667, 'red_fruit': 1.0, 'spices': 0.3541666666666667, 'tree_fruit': 0.041666666666666664, 'tropical_fruit': 0, 'vegetal': 0.041666666666666664}",4.1,//images.vivino.com/thumbs/J3q9NrCZQnCLXcOa483nQQ_pl_480x640.png
6450,2.0504003638798727,86_left,10305_right,95,95,Clos Saint Jean Châteauneuf-du-Pape rouge 'Deus Ex Machina',Frankreich,Rhône,2019.0,red,99.0,https://www.wein-direktimport.de/weine/frankreich/suedliche-rhone/clos-saint-jean/4048/2019-chateauneuf-du-pape-rouge-deus-ex-machina?c=362,https://www.wein-direktimport.de/media/image/8c/ab/8a/deus-ex-machina-ZIP_200x300.jpg," Joe Czerwinski, Wine Advocate, Oktober 2020: „Much like the La Combe des Fous, the 2019 Chateauneuf du Pape Deus Ex Machina seems denser and more concentrated and powerful than the more elegant 2018. Purple fruit and dark chocolate retain a remarkable degree of freshness in this full-bodied, velvety-textured and arguably over-exuberant puppy. There's tremendous material here, compressed into a potent ball of vinous energy that I expect will develop some more nuance and elegance over time.“ Jeb Dunnuck, 2020: „Even deeper colored, the 2019 Châteauneuf Du Pape Deus-Ex Machina reveals a saturated purple hue as well as a blockbuster, more masculine bouquet of smoked blackcurrants, chocolate, ground pepper, bouquet garni, and assorted cured meat-like nuances. Based on a blend of 60% Grenache and 40% Mourvèdre, with the Grenache brought up in tank and the Mourvèdre brought up in demi-muid, this beauty is full-bodied, packs serious power, has an awesome mid-palate, and one monster of a finish. A solid 4-5 years of bottle age are warranted, but it’s going to keep for 20-25 years or more.“",1,,1172691,Clos Saint Jean Châteauneuf-du-Pape Deus Ex Machina,Clos Saint Jean,0.0,red,,Frankreich,Châteauneuf-du-Pape,0.0,"{'acidity': 0.507615675, 'fizziness': 0, 'intensity': 0.939805, 'sweetness': 0.3164947, 'tannin': 0.49163884999999996}","{'black_fruit': 0.8773584905660378, 'citrus_fruit': 0.018867924528301886, 'dried_fruit': 0.16037735849056603, 'earth': 0.6132075471698113, 'floral': 0.05660377358490566, 'microbio': 0.03773584905660377, 'non_oak': 0.03773584905660377, 'oak': 1.0, 'red_fruit': 0.32075471698113206, 'spices': 0.6792452830188679, 'tree_fruit': 0, 'tropical_fruit': 0, 'vegetal': 0.018867924528301886}",4.5,//images.vivino.com/thumbs/XmLSiFJqSJ6xW7qIxssy4w_pl_480x640.png
18138,1.9879135626212614,243_left,10631_right,268,268,"Château de Beaucastel/Familie Perrin Châteauneuf-du-Pape rouge ""Hommage à Jacques Perrin""",Frankreich,Rhône,2016.0,red,420.0,https://www.wein-direktimport.de/weine/frankreich/suedliche-rhone/chateau-de-beaucastel/2640/2016-chateauneuf-du-pape-rouge-hommage-a-jacques-perrin?c=362,https://www.wein-direktimport.de/media/image/c1/9c/b9/perrin_homma-jacques-perrin_200x300.jpg," Joe Czerwinski, wine advocate, August 2018: ""Tasted three weeks after bottling, I couldn't quite bring myself to give the elusive three-digit score to this admittedly super wine. Perhaps once the 2016 Chateauneuf du Pape Hommage à Jacques Perrin has been in bottle a bit longer, as Mourvèdre seems to go into a bit of a funk when recently bottled. For now, it's merely profound, packing in savory, mossy nuances, hints of exotic dried spices like star anise and cardamom and layers of rich, plummy fruit that manage to be full-bodied and deliciously intense without being weighty or overwrought. Creamy, lush, intense and long, it's a tdf (tour de force) in CdP.""",1,,2080162,Château de Beaucastel Hommage à Jacques Perrin Châteauneuf-du-Pape,Château de Beaucastel,0.0,red,,Frankreich,Châteauneuf-du-Pape,0.0,"{'acidity': 0.526894925, 'fizziness': 0, 'intensity': 0.916417, 'sweetness': 0.18872885, 'tannin': 0.475057175}","{'black_fruit': 0.992, 'citrus_fruit': 0.024, 'dried_fruit': 0.064, 'earth': 1.0, 'floral': 0.112, 'microbio': 0.08, 'non_oak': 0.008, 'oak': 0.684, 'red_fruit': 0.408, 'spices': 0.484, 'tree_fruit': 0.036, 'tropical_fruit': 0.016, 'vegetal': 0.02}",4.5,//images.vivino.com/thumbs/x0HbDVIhT8KHdfuFoAdB0w_pl_480x640.png
22181,1.9879135626212614,301_left,10631_right,330,330,"Château de Beaucastel/Familie Perrin Châteauneuf-du-Pape rouge ""Hommage à Jacques Perrin""",Frankreich,Rhône,2013.0,red,290.0,https://www.wein-direktimport.de/weine/frankreich/suedliche-rhone/chateau-de-beaucastel/456/2013-chateauneuf-du-pape-rouge-hommage-a-jacques-perrin?c=362,https://www.wein-direktimport.de/media/image/ea/9b/a6/perrin_homma-jacques-perrin_2013_200x300.jpg," Jeb Dunnuck, wine advocate, Oktober 2015: ""The 2013 Châteauneuf du Pape Hommage a Jacques Perrin is a beast of a wine that’s shed most of the baby fat it showed from barrel. A normal blend of 60% Mourvèdre, 20% Grenache, and the rest Syrah and Counoise, this tiny production release has incredible minerality to go with searing black and blue fruits, forest floor, smoked earth and leather. Full-bodied, inky, concentrated and backwards with a serious kick of tannin, it will need a decade of cellaring to be approachable. I suspect it will have 2-3 decades of longevity.""",1,,2080162,Château de Beaucastel Hommage à Jacques Perrin Châteauneuf-du-Pape,Château de Beaucastel,0.0,red,,Frankreich,Châteauneuf-du-Pape,0.0,"{'acidity': 0.526894925, 'fizziness': 0, 'intensity': 0.916417, 'sweetness': 0.18872885, 'tannin': 0.475057175}","{'black_fruit': 0.992, 'citrus_fruit': 0.024, 'dried_fruit': 0.064, 'earth': 1.0, 'floral': 0.112, 'microbio': 0.08, 'non_oak': 0.008, 'oak': 0.684, 'red_fruit': 0.408, 'spices': 0.484, 'tree_fruit': 0.036, 'tropical_fruit': 0.016, 'vegetal': 0.02}",4.5,//images.vivino.com/thumbs/x0HbDVIhT8KHdfuFoAdB0w_pl_480x640.png
20343,1.9879135626212614,270_left,10631_right,299,299,"Château de Beaucastel/Familie Perrin Châteauneuf-du-Pape rouge ""Hommage à Jacques Perrin""",Frankreich,Rhône,2015.0,red,385.0,https://www.wein-direktimport.de/weine/frankreich/suedliche-rhone/chateau-de-beaucastel/1630/2015-chateauneuf-du-pape-rouge-hommage-a-jacques-perrin?c=362,https://www.wein-direktimport.de/media/image/02/e9/dc/perrin_homma-jacques-perrin_2015_200x300.jpg," Jeb Dunnuck, wine advocate, Oktober 2017: ""A classic blend of mostly Mourvèdre, the 2015 Châteauneuf-du-Pape Hommage A Jacques Perrin is a blockbuster that’s certainly the wine of the vintage. Possessing an inky purple color to go with an incredible bouqet of blueberries, garrigue, olive tapenade, beef blood and pepper. Rich, full-bodied, powerful and layered, with sweet, ripe tannin, it’s a more approachable example of this cuvée that past vintages, yet will keep for 3 decades or more.""",1,,2080162,Château de Beaucastel Hommage à Jacques Perrin Châteauneuf-du-Pape,Château de Beaucastel,0.0,red,,Frankreich,Châteauneuf-du-Pape,0.0,"{'acidity': 0.526894925, 'fizziness': 0, 'intensity': 0.916417, 'sweetness': 0.18872885, 'tannin': 0.475057175}","{'black_fruit': 0.992, 'citrus_fruit': 0.024, 'dried_fruit': 0.064, 'earth': 1.0, 'floral': 0.112, 'microbio': 0.08, 'non_oak': 0.008, 'oak': 0.684, 'red_fruit': 0.408, 'spices': 0.484, 'tree_fruit': 0.036, 'tropical_fruit': 0.016, 'vegetal': 0.02}",4.5,//images.vivino.com/thumbs/x0HbDVIhT8KHdfuFoAdB0w_pl_480x640.png
41128,1.93468411078097,616_left,10752_right,683,683,Domaine Blain-Gagnard Chassagne-Montrachet Blanc 1er Cru Clos Saint Jean,Frankreich,Bourgogne,2017.0,white,89.0,https://www.wein-direktimport.de/weine/frankreich/bourgogne/cote-d-or/domaine-blain-gagnard/2220/2017-chassagne-montrachet-blanc-1er-cru-clos-saint-jean?c=559,https://www.wein-direktimport.de/media/image/2e/b6/02/2017-Chass-Montra-1er-Cru-Clos-St-Jean_200x300.jpg," Der 2017 Chassagne Montrachet 1er Cru Clos St. Jean verzaubert die Verkosternase mit feiner Mineralik, floralen Aromen, ergänzt vom Duft weißer Pfirsiche, Süßmandeln und Zitrusfrüchten.Am Gaumen ist der Wein klar, frisch, elegant, zupackend, mit deutlicher Mineralik die fast ein wenig salzig wirkt. Bereits jetzt ist der Wein sehr zugänglich, hat aber Potential für die kommenden 10 Jahre.",1,,1235223,Domaine Blain-Gagnard Chassagne-Montrachet Premier Cru 'Clos Saint Jean',Domaine Blain-Gagnard,0.0,white,,France,Chassagne-Montrachet 1er Cru 'Clos Saint Jean',0.0,"{'acidity': 0.597643075, 'fizziness': 0, 'intensity': 0.63108235, 'sweetness': 0.07481215000000002, 'tannin': 0}","{'black_fruit': 0.2, 'citrus_fruit': 0.8, 'dried_fruit': 0, 'earth': 0.9, 'floral': 0.2, 'microbio': 0.0, 'non_oak': 0.2, 'oak': 0.5, 'red_fruit': 0.8, 'spices': 0.1, 'tree_fruit': 1.0, 'tropical_fruit': 0, 'vegetal': 0.2}",4.2,//images.vivino.com/thumbs/_vozNra5RwuUCyjqqR5y9A_pl_480x640.png
