,best_match_score,__id_left,__id_right,wine_name_left,wine_winery_left,wine_country_left,wine_region_left,wine_type_left,wine_name_right,wine_winery_right,wine_country_right,wine_region_right,wine_type_right
49384,2.0519657293933258,372_left,927_right,Grüner Veltliner Smaragd „Ried Loibenberg“,Weingut Emmerich Knoll, Österreich ,Wachau,white,Ried Loibenberg Loibner Grüner Veltliner Smaragd,Weingut Knoll,Österreich,Wachau,white
63969,2.0519657293933258,590_left,927_right,Grüner Veltliner Smaragd „Ried Loibenberg“,Weingut Emmerich Knoll, Österreich ,Wachau,white,Ried Loibenberg Loibner Grüner Veltliner Smaragd,Weingut Knoll,Österreich,Wachau,white
5986,2.0393668775711364,70_left,8434_right,Peraj Ha'abib Flor de Primavera,Celler de Capçanes, Spanien ,Tarragona,red,Flor de Primavera Peraj Ha'abib,Celler de Capçanes,Spanien,Montsant,red
49382,2.0001793924771536,371_left,927_right,Grüner Veltliner Smaragd „Ried Loibenberg“ Magnum,Weingut Emmerich Knoll, Österreich ,Wachau,white,Ried Loibenberg Loibner Grüner Veltliner Smaragd,Weingut Knoll,Österreich,Wachau,white
52848,1.8038918904598724,432_left,6042_right,"Grüner Veltliner ""Ried Kreutles"" Federspiel",Weingut Emmerich Knoll, Österreich ,Wachau,white,Ried Kreutles Loibner Grüner Veltliner Federspiel,Weingut Knoll,Österreich,Wachau,white
19705,1.7272534746741353,157_left,2064_right,Rioja Tinto Reserva Viña Tondonia,R. López de Heredia Viña Tondonia, Spanien ,Rioja,red,Viña Tondonia Reserva,R. López de Heredia Viña Tondonia,Spanien,Rioja,red
79495,1.7175203415088822,780_left,4897_right,Weißer Burgunder & Chardonnay Westhofener trocken,Weingut Wittmann, Deutschland ,Rheinhessen,white,Westhofener Weisser Burgunder - Chardonnay Trocken,Wittmann,Deutschland,Rheinhessen,white
58800,1.7175203415088822,500_left,4897_right,Weißer Burgunder & Chardonnay Westhofener trocken,Weingut Wittmann, Deutschland ,Rheinhessen,white,Westhofener Weisser Burgunder - Chardonnay Trocken,Wittmann,Deutschland,Rheinhessen,white
53413,1.7052385710255966,440_left,8187_right,Riesling trocken Hallgartener Hendelberg,Weingut Peter Jakob Kühn, Deutschland ,Rheingau,white,Hallgartener Hendelberg Riesling Trocken,Peter Jakob Kühn,Deutschland,Rheingau,white
78059,1.7052385710255966,763_left,8187_right,Riesling trocken Hallgartener Hendelberg,Weingut Peter Jakob Kühn, Deutschland ,Rheingau,white,Hallgartener Hendelberg Riesling Trocken,Peter Jakob Kühn,Deutschland,Rheingau,white
64239,1.6756022740516245,594_left,7931_right,"Riesling trocken ""Bockenauer Schiefergestein""",Weingut Schäfer-Fröhlich, Deutschland ,Nahe,white,Schiefergestein Bockenauer Riesling Trocken,Schäfer-Fröhlich,Deutschland,Nahe,white
51685,1.6756022740516245,407_left,7931_right,"Riesling trocken ""Bockenauer Schiefergestein""",Weingut Schäfer-Fröhlich, Deutschland ,Nahe,white,Schiefergestein Bockenauer Riesling Trocken,Schäfer-Fröhlich,Deutschland,Nahe,white
69112,1.6756022740516245,651_left,7931_right,"Riesling trocken ""Bockenauer Schiefergestein""",Weingut Schäfer-Fröhlich, Deutschland ,Nahe,white,Schiefergestein Bockenauer Riesling Trocken,Schäfer-Fröhlich,Deutschland,Nahe,white
63968,1.600242238778414,589_left,6522_right,"Chardonnay Smaragd ""Loibner""",Weingut Emmerich Knoll, Österreich ,Wachau,white,Loibner Chardonnay Smaragd,Weingut Knoll,Österreich,Wachau,white
53858,1.5676580695687792,445_left,835_right,Silvaner S. trocken Escherndorfer Lump,Weingut Horst Sauer, Deutschland ,Franken,white,Escherndorfer Lump Silvaner,Horst Sauer,Deutschland,Franken,white
53312,1.5616421829159755,438_left,5588_right,Riesling trocken JACOBUS,Weingut Peter Jakob Kühn, Deutschland ,Rheingau,white,Jacobus Riesling Trocken,Peter Jakob Kühn,Deutschland,Rheingau,white
55388,1.5561498937365073,454_left,454_right,Chardonnay Herrenstück trocken,Weingut Holger Koch, Deutschland ,Baden,white,Chardonnay Herrenstück,Weingut Holger Koch,Deutschland,Baden,white
78008,1.533116668942623,762_left,3089_right,Riesling Hallgarten 'Rheinschiefer',Weingut Peter Jakob Kühn, Deutschland ,Rheingau,white,Rheinschiefer Hallgarten Riesling Trocken,Peter Jakob Kühn,Deutschland,Rheingau,white
53362,1.533116668942623,439_left,3089_right,Riesling Hallgarten 'Rheinschiefer',Weingut Peter Jakob Kühn, Deutschland ,Rheingau,white,Rheinschiefer Hallgarten Riesling Trocken,Peter Jakob Kühn,Deutschland,Rheingau,white
54133,1.5037244844212059,447_left,1997_right,Riesling trocken 'Well Done' -B-,Weingut Metzger, Deutschland ,Pfalz,white,Well Done Riesling Trocken,Weingut Metzger,Deutschland,Pfalz,white
4317,1.4477715101008193,51_left,1935_right,Côtes du Rhône 'Coudoulet de Beaucastel',Château de Beaucastel/Familie Perrin, Frankreich ,Rhône,red,Coudoulet de Beaucastel Côtes-du-Rhône,Château de Beaucastel,Frankreich,Côtes-du-Rhône,red
4074,1.4477715101008193,48_left,1935_right,Côtes du Rhône 'Coudoulet de Beaucastel',Château de Beaucastel/Familie Perrin, Frankreich ,Rhône,red,Coudoulet de Beaucastel Côtes-du-Rhône,Château de Beaucastel,Frankreich,Côtes-du-Rhône,red
77657,1.4477715101008193,751_left,1935_right,Côtes du Rhône 'Coudoulet de Beaucastel',Château de Beaucastel/Familie Perrin, Frankreich ,Rhône,red,Coudoulet de Beaucastel Côtes-du-Rhône,Château de Beaucastel,Frankreich,Côtes-du-Rhône,red
62028,1.446120296630057,555_left,1693_right,Pinot Bianco 'Eichhorn',Manincor, Italien ,Südtirol/Alto Adige,white,Eichhorn Pinot Bianco,Manincor,Italien,Südtirol - Alto Adige,white
81442,1.446120296630057,792_left,1693_right,Pinot Bianco 'Eichhorn',Manincor, Italien ,Südtirol/Alto Adige,white,Eichhorn Pinot Bianco,Manincor,Italien,Südtirol - Alto Adige,white
52846,1.4280503029896934,430_left,6042_right,"Grüner Veltliner ""Loibner"" Federspiel",Weingut Emmerich Knoll, Österreich ,Wachau,white,Ried Kreutles Loibner Grüner Veltliner Federspiel,Weingut Knoll,Österreich,Wachau,white
49386,1.4055854969994208,373_left,927_right,Grüner Veltliner Smaragd „Ried Schütt“,Weingut Emmerich Knoll, Österreich ,Wachau,white,Ried Loibenberg Loibner Grüner Veltliner Smaragd,Weingut Knoll,Österreich,Wachau,white
63915,1.4055854969994208,587_left,927_right,Grüner Veltliner Smaragd „Ried Schütt“,Weingut Emmerich Knoll, Österreich ,Wachau,white,Ried Loibenberg Loibner Grüner Veltliner Smaragd,Weingut Knoll,Österreich,Wachau,white
4754,1.3767729166788056,56_left,1757_right,Poggio Valente,Fattoria Le Pupille, Italien ,Toscana,red,Poggio Valente,Fattoria le Pupille,Italien,Toscana,red
17148,1.3641546133070575,141_left,9559_right,Lytton Springs,Ridge Vineyards, USA ,Dry Creek Valley,red,Lytton Springs,Ridge Vineyards,Vereinigte Staaten,Dry Creek Valley,red
52844,1.3537991600832484,429_left,927_right,Grüner Veltliner Smaragd „Ried Schütt“ Magnum,Weingut Emmerich Knoll, Österreich ,Wachau,white,Ried Loibenberg Loibner Grüner Veltliner Smaragd,Weingut Knoll,Österreich,Wachau,white
68712,1.3537991600832484,645_left,927_right,Grüner Veltliner „Ried Schütt“ Smaragd Magnum,Weingut Emmerich Knoll, Österreich ,Wachau,white,Ried Loibenberg Loibner Grüner Veltliner Smaragd,Weingut Knoll,Österreich,Wachau,white
49380,1.3537991600832484,370_left,927_right,Grüner Veltliner Smaragd „Ried Schütt“ Magnum,Weingut Emmerich Knoll, Österreich ,Wachau,white,Ried Loibenberg Loibner Grüner Veltliner Smaragd,Weingut Knoll,Österreich,Wachau,white
62010,1.3354249338478423,548_left,927_right,"Grüner Veltliner ""Ried Kreutles"" Smaragd",Weingut Emmerich Knoll, Österreich ,Wachau,white,Ried Loibenberg Loibner Grüner Veltliner Smaragd,Weingut Knoll,Österreich,Wachau,white
24659,1.3330165186446454,195_left,7439_right,Côtes du Rhône Rouge 'Le Caillou',Le Clos du Caillou, Frankreich ,Rhône,red,Côtes du Rhône Le Caillou,Clos du Caillou,Frankreich,Côtes-du-Rhône,red
81658,1.3330165186446454,794_left,7439_right,Côtes du Rhône Rouge 'Le Caillou',Le Clos du Caillou, Frankreich ,Rhône,red,Côtes du Rhône Le Caillou,Clos du Caillou,Frankreich,Côtes-du-Rhône,red
69765,1.3324855549822514,661_left,4675_right,Riesling trocken Stromberg GG,Weingut Schäfer-Fröhlich, Deutschland ,Nahe,white,Stromberg Riesling GG,Schäfer-Fröhlich,Deutschland,Nahe,white
87153,1.3324855549822514,873_left,4675_right,Riesling trocken Stromberg GG,Weingut Schäfer-Fröhlich, Deutschland ,Nahe,white,Stromberg Riesling GG,Schäfer-Fröhlich,Deutschland,Nahe,white
38461,1.3323962787026558,291_left,5519_right,"Chianti Classico Gran Selezione ""Vigna del Sorbo""",Az. Agr. Fontodi, Italien ,Toscana,red,Vigna del Sorbo Gran Selezione Chianti Classico,Fontodi,Italien,Chianti Classico,red
31021,1.3261320382507593,239_left,6378_right,Zweigelt Domaene Gobelsburg,Schloss Gobelsburg, Österreich ,Kamptal,red,Zweigelt Domaene Gobelsburg,Schloss Gobelsburg,Österreich,Niederösterreich,red
29807,1.324986579762633,232_left,1757_right,Poggio Valente Magnum,Fattoria Le Pupille, Italien ,Toscana,red,Poggio Valente,Fattoria le Pupille,Italien,Toscana,red
75973,1.2933989640403036,738_left,7439_right,Côtes du Rhône Rosé 'Le Caillou',Le Clos du Caillou, Frankreich ,Rhône,sparkling,Côtes du Rhône Le Caillou,Clos du Caillou,Frankreich,Côtes-du-Rhône,red
81299,1.2933989640403036,791_left,7439_right,Côtes du Rhône Rosé 'Le Caillou',Le Clos du Caillou, Frankreich ,Rhône,sparkling,Côtes du Rhône Le Caillou,Clos du Caillou,Frankreich,Côtes-du-Rhône,red
51514,1.283868581414453,403_left,6575_right,Pouilly Fumé 'Les Chailloux Silex',Domaine Chatelain, Frankreich ,Loire,white,Les Chailloux Silex Pouilly-Fumé,Domaine Chatelain,Frankreich,Pouilly-Fumé,white
62007,1.2836385969316697,546_left,927_right,"Grüner Veltliner ""Ried Kreutles"" Smaragd Magnum",Weingut Emmerich Knoll, Österreich ,Wachau,white,Ried Loibenberg Loibner Grüner Veltliner Smaragd,Weingut Knoll,Österreich,Wachau,white
33074,1.2806099417864834,253_left,5519_right,"Chianti Classico Gran Selezione ""Vigna del Sorbo"" Magnum",Az. Agr. Fontodi, Italien ,Toscana,red,Vigna del Sorbo Gran Selezione Chianti Classico,Fontodi,Italien,Chianti Classico,red
91,1.266145716439443,2_left,7444_right,"Amarone della Valpolicella DOC ""Pietro dal Cero""",Cà dei Frati, Italien ,Lombardei,red,Pietro Dal Cero Amarone della Valpolicella,Cà dei Frati,Italien,Amarone della Valpolicella,red
5200,1.261036516561764,64_left,5315_right,"Pinot Noir trocken ""Prago""",Weingut Metzger, Deutschland ,Pfalz,red,Prago Pinot Noir,Weingut Metzger,Deutschland,Pfalz,red
58743,1.2467077457288551,496_left,7685_right,Riesling trocken vom Buntsandstein VDP.Ortswein,Ökonomierat Rebholz, Deutschland ,Pfalz,white,Vom Buntsandstein Riesling Trocken,Ökonomierat Rebholz,Deutschland,Pfalz,white
79490,1.2467077457288551,777_left,7685_right,Riesling trocken vom Buntsandstein VDP.Ortswein,Ökonomierat Rebholz, Deutschland ,Pfalz,white,Vom Buntsandstein Riesling Trocken,Ökonomierat Rebholz,Deutschland,Pfalz,white
48365,1.2366581431195158,351_left,3245_right,Pinot Blanc Haus Klosterberg,Weingut Markus Molitor, Deutschland ,Mosel,white,Haus Klosterberg Pinot Blanc,Markus Molitor,Deutschland,Mosel,white
67277,1.2163246303120294,627_left,2788_right,Chardonnay * Wehlener Klosterberg,Weingut Markus Molitor, Deutschland ,Mosel,white,Wehlener Klosterberg Chardonnay *,Markus Molitor,Deutschland,Mosel,white
61950,1.1976106854917021,543_left,1124_right,"Riesling Kabinett Kinheimer Rosenberg, grüne Kapsel",Weingut Markus Molitor, Deutschland ,Mosel,white,Kinheimer Rosenberg Riesling Kabinett,Markus Molitor,Deutschland,Mosel,white
82380,1.1936067948000866,804_left,603_right,Lagrein 'Rubatsch',Manincor, Italien ,Südtirol/Alto Adige,red,Rubatsch Lagrein,Manincor,Italien,Südtirol - Alto Adige,red
77651,1.1936067948000866,748_left,603_right,Lagrein 'Rubatsch',Manincor, Italien ,Südtirol/Alto Adige,red,Rubatsch Lagrein,Manincor,Italien,Südtirol - Alto Adige,red
