,best_match_score,__id_left,__id_right,full_name_left,wine_country_left,wine_region_left,wine_type_left,full_name_right,wine_country_right,wine_region_right,wine_type_right
2208,1.54632462214266,12_left,2179_right,Domaine Grand Veneur Côtes du Rhône A.C. Les Champauvins,Frankreich,Côtes du Rhône,red,Alain Jaume Domaine Grand Veneur Côtes du Rhône Les Champauvins,Frankreich,Côtes-du-Rhône,red
2209,1.4271010858524689,13_left,3141_right,"Domaine Grand Veneur ""Le Miocène"" Châteauneuf-du-Pape A.C. 0,375l",Frankreich,Châteauneuf-du-Pape,red,Alain Jaume Domaine Grand Veneur Châteauneuf-du-Pape 'Le Miocène',Frankreich,Châteauneuf-du-Pape,red
3750,1.2960326287583745,21_left,2179_right,"Domaine Grand Veneur Côtes du Rhône A.C. Les Champauvins 1,5l Magnum",Frankreich,Côtes du Rhône,red,Alain Jaume Domaine Grand Veneur Côtes du Rhône Les Champauvins,Frankreich,Côtes-du-Rhône,red
23171,1.0677316719138168,130_left,12455_right,Antech Crémant de Limoux Brut A.C. Cuvée Eugenie,Frankreich,,sparkling,Antech Cuvée Eugénie Crémant de Limoux Brut,Frankreich,Crémant de Limoux,sparkling
16635,1.017743579386306,92_left,8618_right,Hermanos del Villar Oro de Castilla Verdejo D.O. Rueda,Spanien,Rueda,white,Hnos. del Villar Oro de Castilla Verdejo,Spanien,Rueda,white
8325,0.8270303987281288,46_left,2179_right,"Alain Jaume & Fils (Domaine Grand Veneur) Ventoux A.C. ""Les Gélinottes""",Frankreich,Côtes du Rhône,red,Alain Jaume Domaine Grand Veneur Côtes du Rhône Les Champauvins,Frankreich,Côtes-du-Rhône,red
23408,0.8174396785295313,133_left,12455_right,"Antech Crémant de Limoux Brut A.C. Cuvée Eugenie Magnum (1,5l)",Frankreich,,sparkling,Antech Cuvée Eugénie Crémant de Limoux Brut,Frankreich,Crémant de Limoux,sparkling
23007,0.7811902440215212,129_left,12109_right,Antech Crémant de Limoux Brut Rosé Cuvée Émotion,Frankreich,Languedoc-Roussillon,rosé,Antech Émotion Crémant de Limoux Rosé,Frankreich,Crémant de Limoux,sparkling
21198,0.7811902440215212,116_left,12109_right,Antech Crémant de Limoux Brut Rosé Cuvée Émotion,Frankreich,Languedoc-Roussillon,rosé,Antech Émotion Crémant de Limoux Rosé,Frankreich,Crémant de Limoux,sparkling
15725,0.7359675528418665,86_left,2578_right,Grand Veneur Côtes du Rhône A.C. Blanc,Frankreich,Côtes du Rhône,white,E. Guigal Côtes-du-Rhône Blanc,Frankreich,Côtes-du-Rhône,white
18113,0.7306168280643061,100_left,5195_right,Weingut Hain Piesporter Goldtröpfchen Riesling Kabinett feinherb,Deutschland,Mosel,white,Ansgar Clüsserath Piesporter Goldtröpfchen Riesling Feinherb,Deutschland,Mosel,white
17945,0.71803378907355,99_left,5647_right,Weingut Hain Piesporter Riesling Q.b.A. trocken,Deutschland,Mosel,white,Weingut Hain Piesporter Riesling Trocken,Deutschland,Piesport,white
17520,0.71803378907355,97_left,5647_right,Weingut Hain Piesporter Riesling Q.b.A. trocken,Deutschland,Mosel,white,Weingut Hain Piesporter Riesling Trocken,Deutschland,Piesport,white
3977,0.6904118905206451,24_left,3141_right,"Domaine Grand Veneur Châteauneuf-du-Pape A.C. ""Les Origines""",Frankreich,Châteauneuf-du-Pape,red,Alain Jaume Domaine Grand Veneur Châteauneuf-du-Pape 'Le Miocène',Frankreich,Châteauneuf-du-Pape,red
22601,0.6695067384638644,124_left,12185_right,"Grand Veneur Côtes du Rhône A.C. Rosé ""Bellissime""",Frankreich,Côtes du Rhône,rosé,E. Guigal Côtes-du-Rhône Rosé,Frankreich,Côtes-du-Rhône,rosé
18263,0.6135478507848975,101_left,5195_right,Weingut Hain Piesporter Goldtröpfchen Riesling Alte Reben feinherb,Deutschland,Mosel,white,Ansgar Clüsserath Piesporter Goldtröpfchen Riesling Feinherb,Deutschland,Mosel,white
