wine_id,wine_name,wine_winery,wine_country,wine_region,wine_year,wine_type,wine_price,wine_alcohol
1167370,Sylvaner,Kellerei Eisacktal - Cantina Valle Isarco,Italien,Südtirol - Alto Adige,2020,white,10.5,13.5
76036,Free Run Sauvignon Blanc,Flagstone,Südafrika,Western Cape,2018,white,14.2,13.5
14893,Crianza,Muruve,Spanien,Toro,2016,red,10.65,14.5
1740959,Vom Schiefer Riesling Trocken,Ansgar Clüsserath,Deutschland,Mosel,2019,white,9.64,0.0
16606,La Sereine Chablis,La Chablisienne,Frankreich,Chablis,2017,white,16.0,12.5
1125036,Malbec,Sottano,Argentinien,Lujan de Cuyo,2020,red,9.95,14.0
1550404,Côtes de Gascogne Sauvignon - Gros Manseng,Horgelus,Frankreich,Côtes de Gascogne,2020,white,6.95,13.0
1100670,Caro,Caro (Catena and Rothschild),Argentinien,Mendoza,2017,red,49.0,14.0
5463616,Estate Riesling,Hugel,Frankreich,Elsass,2016,white,24.0,12.5
7980485,Postmark Cabernet Sauvignon,Duckhorn,Vereinigte Staaten,Paso Robles,2018,red,41.81,14.5
1246889,Adobe Merlot (Reserva),Emiliana,Chile,Rapel Valley,2019,red,8.4,13.5
1504403,El Viejo,Matsu,Spanien,Toro,2016,red,29.0,14.5
1147380,Limited Release Cabernet Sauvignon,Sutil,Chile,Rapel Valley,2017,red,11.8,14.0
1176690,Ceppitaio,Russo,Italien,Toscana,2019,red,9.95,0.0
5280597,GG Kirchberg Spätburgunder,Salwey,Deutschland,Baden,2017,red,49.0,13.0
3743,Casal di Serra Verdicchio dei Castelli di Jesi Classico Superiore,Umani Ronchi,Italien,Verdicchio dei Castelli di Jesi,2019,white,9.9,13.0
2889,NC (Non Confunditur),Argiano,Italien,Toscana,2018,red,12.5,14.0
3736213,Cabernet Sauvignon,19 Crimes,Australien,Victoria,2018,red,12.0,13.0
23826,Légende (R) Bordeaux Blanc,Barons de Rothschild (Lafite),Frankreich,Bordeaux,2019,white,9.9,12.0
1206114,No Name,Borgogno,Italien,Langhe,2015,red,25.9,14.0
23909,Cabernet Sauvignon,Zonnebloem,Südafrika,Stellenbosch,2019,red,8.39,14.0
1548529,Macabeo - Verdejo,Gran Sello,Spanien,Castilla,2019,white,6.49,12.5
2273483,Grande Cuvée,Keringer,Österreich,Burgenland,2018,red,13.9,14.0
1167880,Tortoniano Barolo,Michele Chiarlo,Italien,Barolo,2016,red,44.95,14.0
2116324,The Black Shiraz,Richland,Australien,Riverina,2019,red,8.91,0.0
2122904,Rust Blaufränkisch Ried Gmärk Trocken,Ernst Triebaumer,Österreich,Burgenland,2018,red,12.7,13.5
73379,Pinot Grigio Venezie (Grigio Luna),Cecilia Beretta,Italien,Venezia,2020,white,7.61,12.0
7103,Amarone della Valpolicella Classico,Tommasi,Italien,Amarone della Valpolicella Classico,2016,red,34.8,15.0
4020498,Sandstein Riesling Trocken,Gysler,Deutschland,Rheinhessen,2020,white,9.5,12.0
1482187,Primius Primitivo di Manduria,San Donaci,Italien,Primitivo di Manduria,2019,red,7.25,14.0
1226596,Derthona,Vigneti Massa,Italien,Piemont,2018,white,17.5,13.5
1145225,Gewürztraminer Alsace Signature,Wolfberger,Frankreich,Elsass,2019,white,8.89,13.5
6886993,Tre Forte Rosso,Tenute Quattro Conti,Italien,Puglia,2019,red,5.9,12.5
1122195,Santorini Nykteri,SantoWines,Griechenland,Santorin,2018,white,17.9,0.0
21218,Sauvignon Blanc,José Pariente,Spanien,Rueda,2019,white,10.34,13.0
1940399,Fourchaume Chablis Premier Cru,Roland Lavantureux,Frankreich,Chablis 1er Cru 'Fourchaume',2018,white,35.0,13.0
1130517,Sauvignon Blanc,Babich,Neuseeland,Marlborough,2019,white,12.0,13.0
1179525,Nerìo Riserva  Negroamaro - Malvasia Nera,Schola Sarmenti,Italien,Nardò,2017,red,12.21,14.0
6511638,Weissburgunder Vom Muschelkalk,Weingut Abraham,Italien,Südtirol - Alto Adige,2018,white,22.9,13.0
1873976,Sauvignon Blanc,De Grendel,Südafrika,Cape Town,2020,white,12.9,13.0
2783335,Chardonnay Réserve,Knewitz,Deutschland,Rheinhessen,2018,white,31.0,13.0
2694548,Rías Baixas Albariño Marieta,Martin Codax,Spanien,Rías Baixas,2018,white,7.5,12.5
1105335,Morgon Côte du Py,Jean Foillard,Frankreich,Morgon,2017,red,35.0,13.5
83496,Cabernet Sauvignon (815),Joel Gott,Vereinigte Staaten,Kalifornien,2015,red,25.4,14.0
7169925,The Maker,Bodegas Pedro Escudero,Spanien,Rueda,2020,white,11.5,13.5
5354720,Bicento,Nativ,Italien,Irpinia Campi Taurasini,2017,red,39.95,14.0
8040,Selvarossa Riserva,Cantine due Palme,Italien,Salice Salentino,2017,red,15.9,14.5
1253915,Thalassitis White Dry,Gaía,Griechenland,Santorin,2018,white,24.25,13.0
1140854,L'Elfo Pinot Grigio,Sacchetto,Italien,Veneto,2020,white,5.89,12.0
1808702,Benuara (Tenuta Presti e Pegni),Cusumano,Italien,Terre Siciliane,2019,red,9.9,14.0
1533816,Sankt Nikolaus Riesling Trocken,Peter Jakob Kühn,Deutschland,Rheingau,2017,white,44.0,12.8
14517,Castillon - Côtes de Bordeaux,Château d'Aiguilhe,Frankreich,Castillon - Côtes de Bordeaux,2010,red,39.95,15.0
1898225,Dimanche à Lima Saint Joseph,Julien Pilon,Frankreich,Saint-Joseph,2018,white,23.5,0.0
4544361,Belvento Viognier (I Vini Del Mare),Petra,Italien,Toscana,2020,white,10.5,13.0
98782,Garnacha,Alto Moncayo,Spanien,Campo de Borja,2018,red,39.99,16.3
9396941,Puntscheit Kerner,Cantina Bolzano / Kellerei Bozen,Italien,Südtirol - Alto Adige,2020,white,11.6,0.0
1108374,Etna Guardiola Rosso,Tenuta delle Terre Nere,Italien,Ätna,2018,red,32.5,14.5
5422368,Gazzerotta Nero d'Avola,Cantine Pellegrino,Italien,Terre Siciliane,2017,red,9.55,14.0
