,wine_name,wine_winery,wine_country,wine_region,wine_year,wine_type,wine_price,wine_alcohol,wine_thumb,wine_url,wine_seller
0,Filet Noir trocken,Weingut Metzger, Deutschland ,Pfalz, 2019 ,red,10.9,14.5,/themes/Frontend/WeinDirektimport/frontend/_public/src/img/no-picture.jpg,https://www.wein-direktimport.de/weine/deutschland/pfalz/uli-metzger/4607/2019-filet-noir-trocken?c=362,1
2,Château Sansonnet Saint Emilion Grand Cru Classé,Château Sansonnet, Frankreich ,Bordeaux, 2019 ,red,39.0,13.5,https://www.wein-direktimport.de/media/image/b0/48/2d/Sansonnet-2019-web_200x300.jpg,https://www.wein-direktimport.de/weine/frankreich/bordeaux-saint-emilion-grand-cru-classe/chateau-sansonnet/4457/2019-chateau-sansonnet-saint-emilion-grand-cru-classe?c=362,1
3,"Amarone della Valpolicella DOC ""Pietro dal Cero""",Cà dei Frati, Italien ,Lombardei, 2015 ,red,45.0,16.0,https://www.wein-direktimport.de/media/image/e7/4f/ee/2015-AmaroneZIP_200x300.jpg,https://www.wein-direktimport.de/weine/italien/lombardei/ca-dei-frati/4546/2015-amarone-della-valpolicella-doc-pietro-dal-cero?c=362,1
4,Ronchedone Rosso Benaco Besciano IGT 375 ml,Cà dei Frati, Italien ,Lombardei, 2019 ,red,10.5,14.0,https://www.wein-direktimport.de/media/image/d0/a3/7e/Etikett-2019-ronchedone_200x300.jpg,https://www.wein-direktimport.de/weine/italien/lombardei/ca-dei-frati/4545/2019-ronchedone-rosso-benaco-besciano-igt-375-ml?c=362,1
5,Côtes du Rhône Villages 'Terre d'Argile',Domaine de la Janasse, Frankreich ,Rhône, 2020 ,red,16.5,14.5,https://www.wein-direktimport.de/media/image/54/2f/3f/Terre-d-Argile-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/frankreich/suedliche-rhone/domaine-de-la-janasse/4481/2020-cotes-du-rhone-villages-terre-d-argile?c=362,1
6,Côtes du Rhône rouge,Domaine de la Janasse, Frankreich ,Rhône, 2020 ,red,9.95,14.5,https://www.wein-direktimport.de/media/image/48/fe/ed/CdR-Rouge-ZIPBj6WHWpEgFOy3_200x300.jpg,https://www.wein-direktimport.de/weine/frankreich/suedliche-rhone/domaine-de-la-janasse/4482/2020-cotes-du-rhone-rouge?c=362,1
7,Terre de Bussière IGP,Domaine de la Janasse, Frankreich ,Rhône, 2019 ,red,9.95,14.5,https://www.wein-direktimport.de/media/image/2d/e7/80/Terre-Bussiere-ZIPEqHzCN9cYFJCI_200x300.jpg,https://www.wein-direktimport.de/weine/frankreich/suedliche-rhone/domaine-de-la-janasse/4483/2019-terre-de-bussiere-igp?c=362,1
8,Châteauneuf-du-Pape Rouge,Domaine de la Janasse, Frankreich ,Rhône, 2019 ,red,39.5,15.0,https://www.wein-direktimport.de/media/image/fc/03/a5/Chat-9-Pape-Basis-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/frankreich/suedliche-rhone/domaine-de-la-janasse/4480/2019-chateauneuf-du-pape-rouge?c=362,1
9,"Châteauneuf-du-Pape rouge ""Cuvée Vieilles Vignes""",Domaine de la Janasse, Frankreich ,Rhône, 2019 ,red,88.0,15.5,https://www.wein-direktimport.de/media/image/e3/71/37/Chat-9-Pape-Vieille-Vigne-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/frankreich/suedliche-rhone/domaine-de-la-janasse/3235/2019-chateauneuf-du-pape-rouge-cuvee-vieilles-vignes?c=362,1
10,Black Print,Markus Schneider, Deutschland ,Pfalz, 2020 ,red,15.9,14.0,https://www.wein-direktimport.de/media/image/77/ce/4c/Black-Print-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/pfalz/weingut-markus-schneider/4540/2020-black-print?c=362,1
11,Schwarzer trocken,Weingut Metzger, Deutschland ,Pfalz, 2019 ,red,10.9,14.5,https://www.wein-direktimport.de/media/image/b2/5d/bc/2017-Schwarzer-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/pfalz/uli-metzger/4536/2019-schwarzer-trocken?c=362,1
12,Dolomiti Rosso 'Réserve del Conte',Manincor, Italien ,Südtirol/Alto Adige, 2019 ,red,16.9,13.5,https://www.wein-direktimport.de/media/image/5b/54/e1/Reserve-Conte-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/italien/suedtirol/manincor/4492/2019-dolomiti-rosso-reserve-del-conte?c=362,1
13,Petresco IGT Toscana,Podere Le Cinciole, Italien ,Toscana, 2017 ,red,49.5,14.5,https://www.wein-direktimport.de/media/image/2c/bd/2a/Petrosco-2017-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/italien/toskana/podere-le-cinciole/4341/2017-petresco-igt-toscana?c=362,1
14,Chianti Classico DOCg,Podere Le Cinciole, Italien ,Toscana, 2018 ,red,16.9,14.5,https://www.wein-direktimport.de/media/image/75/e6/a9/Chianti-Cinciole-2018-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/italien/toskana/podere-le-cinciole/4340/2018-chianti-classico-docg?c=362,1
15,Chianti Classico Gran Selecione Aluigi,Podere Le Cinciole, Italien ,Toscana, 2016 ,red,36.0,14.5,https://www.wein-direktimport.de/media/image/d5/40/15/Aluigi-2016-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/italien/toskana/podere-le-cinciole/4343/2016-chianti-classico-gran-selecione-aluigi?c=362,1
16,Camalaione IGT Toscana,Podere Le Cinciole, Italien ,Toscana, 2016 ,red,38.0,14.5,https://www.wein-direktimport.de/media/image/db/3d/e9/Camalaione-2016-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/italien/toskana/podere-le-cinciole/4344/2016-camalaione-igt-toscana?c=362,1
17,Petresco IGT Toscana Magnum,Podere Le Cinciole, Italien ,Toscana, 2017 ,red,108.0,14.5,https://www.wein-direktimport.de/media/image/43/67/06/Petrosco-2017-Magnum-ZIP_200x300.jpg,https://www.wein-direktimport.de/alle-weine/typ/magnum-doppelmagnum.../4342/2017-petresco-igt-toscana-magnum?c=362,1
18,Lagrein 'Rubatsch',Manincor, Italien ,Südtirol/Alto Adige, 2019 ,red,29.5,13.0,https://www.wein-direktimport.de/media/image/e8/b5/9e/Rubatsch-Lagrein_200x300.jpg,https://www.wein-direktimport.de/weine/italien/suedtirol/manincor/4494/2019-lagrein-rubatsch?c=362,1
19,Vernatsch 'Der Keil',Manincor, Italien ,Südtirol/Alto Adige, 2020 ,red,15.9,13.0,https://www.wein-direktimport.de/media/image/69/6b/49/Keil-Vernatsch-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/italien/suedtirol/manincor/4489/2020-vernatsch-der-keil?c=362,1
20,Primitivo Puglia 'I Muri',Farnese Vini srl, Italien ,Abruzzen, 2020 ,red,6.5,14.0,https://www.wein-direktimport.de/media/image/bf/68/38/I-Muri-PrimitivoZIP_200x300.jpg,https://www.wein-direktimport.de/weine/italien/apulien-und-abruzzen/farnese/4488/2020-primitivo-puglia-i-muri?c=362,1
21,Neropasso Rosso Veneto,Biscardo, Italien ,Veneto, 2019 ,red,8.5,13.5,https://www.wein-direktimport.de/media/image/f8/95/39/Neropasso-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/italien/veneto/biscardo/4478/2019-neropasso-rosso-veneto?c=362,1
22,STEINSATZ Rotwein,Markus Schneider, Deutschland ,Pfalz, 2017 ,red,29.5,14.5,https://www.wein-direktimport.de/media/image/aa/23/17/2017-Steinsatz-jpg_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/pfalz/weingut-markus-schneider/4471/2017-steinsatz-rotwein?c=362,1
23,Château Ferran Pessac-Léognan,Château Ferran, Frankreich ,Bordeaux, 2019 ,red,19.5,14.0,https://www.wein-direktimport.de/media/image/a4/cc/af/2019-Rouge-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/frankreich/bordeaux-pessac-leognan/chateau-ferran/4458/2019-chateau-ferran-pessac-leognan?c=362,1
24,"Spätburgunder trocken ""Vom Kalkstein""",Weingut Metzger, Deutschland ,Pfalz, 2019 ,red,9.9,13.5,https://www.wein-direktimport.de/media/image/e0/ec/d0/PN-KalksteinH24GRzflPKT30_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/pfalz/uli-metzger/4447/2019-spaetburgunder-trocken-vom-kalkstein?c=362,1
