,wine_name,wine_country,wine_region,wine_year,wine_type,wine_price,wine_thumb,wine_url,wine_seller
0,"Cascina Castlèt Passum Barbera d'Asti D.O.C.G. Superiore 1,5l Magnum",Italien,Piemont,2016.0,red,59.0,https://www.divino.de/media/image/thumbnail/getBinary-BinaryCodeID-1685_150x240.jpg,https://www.divino.de/wein/rotwein/cascina-castlet-passum-barbera-di-asti-docg-superiore-magnum,2
1,"Cascina Castlèt Litina Barbera d'Asti D.O.C.G. Superiore 1,5l Magnum",Italien,Piemont,2016.0,red,33.0,https://www.divino.de/media/image/thumbnail/50_Anni_150x240.png,https://www.divino.de/wein/rotwein/cascina-castlet-litina-barbera-di-asti-docg-superiore-magnum,2
2,Cascina Castlèt Passum Barbera d'Asti D.O.C.G. Superiore,Italien,Piemont,2017.0,red,26.9,https://www.divino.de/media/image/thumbnail/getBinary-BinaryCodeID-1685_150x240.jpg,https://www.divino.de/wein/rotwein/cascina-castlet-passum-barbera-di-asti-docg-superiore,2
3,Cascina Castlèt Litina Barbera d'Asti D.O.C.G. Superiore,Italien,Piemont,2017.0,red,14.99,https://www.divino.de/media/image/thumbnail/50_Anni_150x240.png,https://www.divino.de/wein/rotwein/cascina-castlet-litina-barbera-di-asti-docg-superiore,2
4,Nicolas Duffour Le Galopin de Gascogne Rouge I.G.P.,Frankreich,Gascogne,2020,rosé,5.9,https://www.divino.de/media/image/thumbnail/Galopin_150x240.jpg,https://www.divino.de/wein/rotwein/nicolas-duffour-le-galopin-de-gascogne-rouge,2
5,Château Godard Bellevue Francs Côtes de Bordeaux A.C. Rouge,Frankreich,Bordeaux,2016,red,9.99,https://www.divino.de/media/image/thumbnail/arbo_godard-bellevue_1500_150x240.png,https://www.divino.de/wein/rotwein/2016-chateau-godard-bellevue-francs-cotes-de-bordeaux,2
6,Château Arbo Bordeaux A.O.C. Montagne-Saint-Émilion,Frankreich,Bordeaux,2019,red,21.9,https://www.divino.de/media/image/thumbnail/Arbo_150x240.png,https://www.divino.de/wein/2019-chateau-arbo-bordeaux-a.o.c.-montagne-saint-emilion,2
7,Cantina Trerè Cà More Ravenna Rosso I.G.T.,Italien,Emilia-Romagna,2020,white,7.99,https://www.divino.de/media/image/thumbnail/Trere_Camore_150x240.png,https://www.divino.de/wein/rotwein/cantina-trere-re-ca-more-ravenna-rosso-igt,2
8,Hermanos del Villar Gaudeamus Roble D.O. Ribera del Duero,Spanien,Ribera del Duero,2019,red,9.2,https://www.divino.de/media/image/thumbnail/HdV_Gaudeamus_2013_2_150x240.png,https://www.divino.de/rotwein/hermanos-del-villar-gaudeamus-tinto-roble-ribera-del-duero,2
9,"Teanum ÒTRE Negroamaro ""Fish""",Italien,Apulien,2018.0,red,9.2,https://www.divino.de/media/image/thumbnail/getBinary-BinaryCodeID-1971_150x240.jpg,https://www.divino.de/wein/teanum-otre-negroamaro-fish-pugila,2
10,Teanum ÒTRE Nero di Troia,Italien,Apulien,2018.0,red,9.2,https://www.divino.de/media/image/thumbnail/getBinary-BinaryCodeID-1938_150x240.jpg,https://www.divino.de/wein/teanumn-otre-nero-di-troia-puglia,2
11,Teanum VENTO Rosso Nero di Troia & Primitivo,Italien,Apulien,2018.0,red,6.9,https://www.divino.de/media/image/thumbnail/getBinary-BinaryCodeID-1926_150x240.jpg,https://www.divino.de/wein/teanum-vento-rosso-nero-di-troia-primitivo-puglia,2
12,Domaine Grand Veneur Côtes du Rhône A.C. Les Champauvins,Frankreich,Côtes du Rhône,2017.0,red,12.2,https://www.divino.de/media/image/thumbnail/getBinary-BinaryCodeID-1752_150x240.jpg,https://www.divino.de/rotwein/domaine-grand-veneur-les-champauvins-cotes-du-rhone-a.c.-rouge,2
13,"Domaine Grand Veneur ""Le Miocène"" Châteauneuf-du-Pape A.C. 0,375l",Frankreich,Châteauneuf-du-Pape,2017.0,red,17.9,https://www.divino.de/media/image/thumbnail/getBinary-BinaryCodeID-961_150x240.jpg,"https://www.divino.de/wein/rotwein/domaine-grand-veneur-chateauneuf-du-pape-le-miocene-0,375l",2
14,Domaine Girard Tradition Rouge A.O.P. Malepère,Frankreich,Languedoc-Roussillon,2018.0,red,8.7,https://www.divino.de/media/image/thumbnail/Tradition_Rouge_150x240.png,https://www.divino.de/wein/domaine-girard-tradition-rouge-a.o.p.-malepere,2
15,"Rejadorada Tinto Roble D.O. Toro 0,375l",Spanien,Toro,2019,red,5.5,https://www.divino.de/media/image/thumbnail/Rejadorada_Roble_2013_150x240.png,"https://www.divino.de/rejadorada-tinto-roble-toro-0,375l",2
16,"Rejadorada Novellum Crianza D.O. Toro Magnum (1,5l)",Spanien,Toro,2016,red,26.9,https://www.divino.de/media/image/thumbnail/Rejadorada_2012_Novellum_150x240.png,https://www.divino.de/rotwein/rejadorada-novellum-crianza-toro-magnum,2
17,Rejadorada Novellum Crianza D.O. Toro,Spanien,Toro,2016,red,13.2,https://www.divino.de/media/image/thumbnail/Rejadorada_2012_Novellum_150x240.png,https://www.divino.de/rotwein/rejadorada-novellum-crianza-toro,2
18,Rejadorada Reja Joven D.O. Toro,Spanien,Toro,2020,red,7.2,https://www.divino.de/media/image/thumbnail/Rejadorada_Reja_2014_150x240.png,https://www.divino.de/wein/rejadorada-reja-joven-toro,2
19,Rejadorada Tinto Roble D.O. Toro,Spanien,Toro,2019,red,9.2,https://www.divino.de/media/image/thumbnail/Rejadorada_Roble_2013_150x240.png,https://www.divino.de/wein/rejadorada-tinto-roble-toro,2
20,"Domaine Grand Veneur Châteauneuf-du-Pape A.C. ""Les Origines"" 1,5l Magnum",,,2017,,99.0,https://www.divino.de/media/image/thumbnail/getBinary-BinaryCodeID-973_150x240.jpg,https://www.divino.de/rotwein/domaine-grand-veneur-chateauneuf-du-pape-les-origines-magnum,2
21,"Domaine Grand Veneur Côtes du Rhône A.C. Les Champauvins 1,5l Magnum",Frankreich,Côtes du Rhône,2017.0,red,26.9,https://www.divino.de/media/image/thumbnail/getBinary-BinaryCodeID-1752_150x240.jpg,https://www.divino.de/rotwein/domaine-grand-veneur-les-champauvins-cotes-du-rhone-a.c.-rouge-magnum,2
