,best_match_score,__id_left,__id_right,wine_name_left,wine_winery_left,wine_country_left,wine_region_left,wine_type_left,wine_name_right,wine_winery_right,wine_country_right,wine_region_right,wine_type_right
49319,2.0519657293933258,372_left,927_right,grüner veltliner smaragd „ried loibenberg“,weingut emmerich knoll, Österreich ,Wachau,white,ried loibenberg loibner grüner veltliner smaragd,weingut knoll,Österreich,Wachau,white
63955,2.0519657293933258,590_left,927_right,grüner veltliner smaragd „ried loibenberg“,weingut emmerich knoll, Österreich ,Wachau,white,ried loibenberg loibner grüner veltliner smaragd,weingut knoll,Österreich,Wachau,white
5942,2.0393668775711364,70_left,8434_right,peraj ha'abib flor de primavera,celler de capçanes, Spanien ,Tarragona,red,flor de primavera peraj ha'abib,celler de capçanes,Spanien,Montsant,red
49317,2.0001793924771536,371_left,927_right,grüner veltliner smaragd „ried loibenberg“ magnum,weingut emmerich knoll, Österreich ,Wachau,white,ried loibenberg loibner grüner veltliner smaragd,weingut knoll,Österreich,Wachau,white
52795,1.8038918904598724,432_left,6042_right,"grüner veltliner ""ried kreutles"" federspiel",weingut emmerich knoll, Österreich ,Wachau,white,ried kreutles loibner grüner veltliner federspiel,weingut knoll,Österreich,Wachau,white
19703,1.7272534746741353,157_left,2064_right,rioja tinto reserva viña tondonia,r. lópez de heredia viña tondonia, Spanien ,Rioja,red,viña tondonia reserva,r. lópez de heredia viña tondonia,Spanien,Rioja,red
79436,1.7175203415088822,780_left,4897_right,weißer burgunder & chardonnay westhofener trocken,weingut wittmann, Deutschland ,Rheinhessen,white,westhofener weisser burgunder - chardonnay trocken,wittmann,Deutschland,Rheinhessen,white
58765,1.7175203415088822,500_left,4897_right,weißer burgunder & chardonnay westhofener trocken,weingut wittmann, Deutschland ,Rheinhessen,white,westhofener weisser burgunder - chardonnay trocken,wittmann,Deutschland,Rheinhessen,white
53354,1.7052385710255966,440_left,8187_right,riesling trocken hallgartener hendelberg,weingut peter jakob kühn, Deutschland ,Rheingau,white,hallgartener hendelberg riesling trocken,peter jakob kühn,Deutschland,Rheingau,white
78000,1.7052385710255966,763_left,8187_right,riesling trocken hallgartener hendelberg,weingut peter jakob kühn, Deutschland ,Rheingau,white,hallgartener hendelberg riesling trocken,peter jakob kühn,Deutschland,Rheingau,white
64225,1.6756022740516245,594_left,7931_right,"riesling trocken ""bockenauer schiefergestein""",weingut schäfer-fröhlich, Deutschland ,Nahe,white,schiefergestein bockenauer riesling trocken,schäfer-fröhlich,Deutschland,Nahe,white
51632,1.6756022740516245,407_left,7931_right,"riesling trocken ""bockenauer schiefergestein""",weingut schäfer-fröhlich, Deutschland ,Nahe,white,schiefergestein bockenauer riesling trocken,schäfer-fröhlich,Deutschland,Nahe,white
69102,1.6756022740516245,651_left,7931_right,"riesling trocken ""bockenauer schiefergestein""",weingut schäfer-fröhlich, Deutschland ,Nahe,white,schiefergestein bockenauer riesling trocken,schäfer-fröhlich,Deutschland,Nahe,white
63954,1.600242238778414,589_left,6522_right,"chardonnay smaragd ""loibner""",weingut emmerich knoll, Österreich ,Wachau,white,loibner chardonnay smaragd,weingut knoll,Österreich,Wachau,white
53799,1.5676580695687792,445_left,835_right,silvaner s. trocken escherndorfer lump,weingut horst sauer, Deutschland ,Franken,white,escherndorfer lump silvaner,horst sauer,Deutschland,Franken,white
53253,1.5616421829159755,438_left,5588_right,riesling trocken jacobus,weingut peter jakob kühn, Deutschland ,Rheingau,white,jacobus riesling trocken,peter jakob kühn,Deutschland,Rheingau,white
55370,1.5561498937365073,454_left,454_right,chardonnay herrenstück trocken,weingut holger koch, Deutschland ,Baden,white,chardonnay herrenstück,weingut holger koch,Deutschland,Baden,white
77949,1.533116668942623,762_left,3089_right,riesling hallgarten 'rheinschiefer',weingut peter jakob kühn, Deutschland ,Rheingau,white,rheinschiefer hallgarten riesling trocken,peter jakob kühn,Deutschland,Rheingau,white
53303,1.533116668942623,439_left,3089_right,riesling hallgarten 'rheinschiefer',weingut peter jakob kühn, Deutschland ,Rheingau,white,rheinschiefer hallgarten riesling trocken,peter jakob kühn,Deutschland,Rheingau,white
54074,1.5037244844212059,447_left,1997_right,riesling trocken 'well done' -b-,weingut metzger, Deutschland ,Pfalz,white,well done riesling trocken,weingut metzger,Deutschland,Pfalz,white
4273,1.4477715101008193,51_left,1935_right,côtes du rhône 'coudoulet de beaucastel',château de beaucastel/familie perrin, Frankreich ,Rhône,red,coudoulet de beaucastel côtes-du-rhône,château de beaucastel,Frankreich,Côtes-du-Rhône,red
4031,1.4477715101008193,48_left,1935_right,côtes du rhône 'coudoulet de beaucastel',château de beaucastel/familie perrin, Frankreich ,Rhône,red,coudoulet de beaucastel côtes-du-rhône,château de beaucastel,Frankreich,Côtes-du-Rhône,red
77598,1.4477715101008193,751_left,1935_right,côtes du rhône 'coudoulet de beaucastel',château de beaucastel/familie perrin, Frankreich ,Rhône,red,coudoulet de beaucastel côtes-du-rhône,château de beaucastel,Frankreich,Côtes-du-Rhône,red
61995,1.446120296630057,555_left,1693_right,pinot bianco 'eichhorn',manincor, Italien ,Südtirol/Alto Adige,white,eichhorn pinot bianco,manincor,Italien,Südtirol - Alto Adige,white
81332,1.446120296630057,792_left,1693_right,pinot bianco 'eichhorn',manincor, Italien ,Südtirol/Alto Adige,white,eichhorn pinot bianco,manincor,Italien,Südtirol - Alto Adige,white
52793,1.4280503029896934,430_left,6042_right,"grüner veltliner ""loibner"" federspiel",weingut emmerich knoll, Österreich ,Wachau,white,ried kreutles loibner grüner veltliner federspiel,weingut knoll,Österreich,Wachau,white
49321,1.4055854969994208,373_left,927_right,grüner veltliner smaragd „ried schütt“,weingut emmerich knoll, Österreich ,Wachau,white,ried loibenberg loibner grüner veltliner smaragd,weingut knoll,Österreich,Wachau,white
63901,1.4055854969994208,587_left,927_right,grüner veltliner smaragd „ried schütt“,weingut emmerich knoll, Österreich ,Wachau,white,ried loibenberg loibner grüner veltliner smaragd,weingut knoll,Österreich,Wachau,white
4710,1.3767729166788056,56_left,1757_right,poggio valente,fattoria le pupille, Italien ,Toscana,red,poggio valente,fattoria le pupille,Italien,Toscana,red
17182,1.3641546133070575,141_left,9559_right,lytton springs,ridge vineyards, USA ,Dry Creek Valley,red,lytton springs,ridge vineyards,Vereinigte Staaten,Dry Creek Valley,red
52791,1.3537991600832484,429_left,927_right,grüner veltliner smaragd „ried schütt“ magnum,weingut emmerich knoll, Österreich ,Wachau,white,ried loibenberg loibner grüner veltliner smaragd,weingut knoll,Österreich,Wachau,white
68702,1.3537991600832484,645_left,927_right,grüner veltliner „ried schütt“ smaragd magnum,weingut emmerich knoll, Österreich ,Wachau,white,ried loibenberg loibner grüner veltliner smaragd,weingut knoll,Österreich,Wachau,white
49315,1.3537991600832484,370_left,927_right,grüner veltliner smaragd „ried schütt“ magnum,weingut emmerich knoll, Österreich ,Wachau,white,ried loibenberg loibner grüner veltliner smaragd,weingut knoll,Österreich,Wachau,white
61977,1.3354249338478423,548_left,927_right,"grüner veltliner ""ried kreutles"" smaragd",weingut emmerich knoll, Österreich ,Wachau,white,ried loibenberg loibner grüner veltliner smaragd,weingut knoll,Österreich,Wachau,white
24604,1.3330165186446454,195_left,7439_right,côtes du rhône rouge 'le caillou',le clos du caillou, Frankreich ,Rhône,red,côtes du rhône le caillou,clos du caillou,Frankreich,Côtes-du-Rhône,red
81535,1.3330165186446454,794_left,7439_right,côtes du rhône rouge 'le caillou',le clos du caillou, Frankreich ,Rhône,red,côtes du rhône le caillou,clos du caillou,Frankreich,Côtes-du-Rhône,red
69758,1.3324855549822514,661_left,4675_right,riesling trocken stromberg gg,weingut schäfer-fröhlich, Deutschland ,Nahe,white,stromberg riesling gg,schäfer-fröhlich,Deutschland,Nahe,white
87077,1.3324855549822514,873_left,4675_right,riesling trocken stromberg gg,weingut schäfer-fröhlich, Deutschland ,Nahe,white,stromberg riesling gg,schäfer-fröhlich,Deutschland,Nahe,white
38370,1.3323962787026558,291_left,5519_right,"chianti classico gran selezione ""vigna del sorbo""",az. agr. fontodi, Italien ,Toscana,red,vigna del sorbo gran selezione chianti classico,fontodi,Italien,Chianti Classico,red
30920,1.3261320382507593,239_left,6378_right,zweigelt domaene gobelsburg,schloss gobelsburg, Österreich ,Kamptal,red,zweigelt domaene gobelsburg,schloss gobelsburg,Österreich,Niederösterreich,red
29775,1.324986579762633,232_left,1757_right,poggio valente magnum,fattoria le pupille, Italien ,Toscana,red,poggio valente,fattoria le pupille,Italien,Toscana,red
75863,1.2933989640403036,738_left,7439_right,côtes du rhône rosé 'le caillou',le clos du caillou, Frankreich ,Rhône,sparkling,côtes du rhône le caillou,clos du caillou,Frankreich,Côtes-du-Rhône,red
81189,1.2933989640403036,791_left,7439_right,côtes du rhône rosé 'le caillou',le clos du caillou, Frankreich ,Rhône,sparkling,côtes du rhône le caillou,clos du caillou,Frankreich,Côtes-du-Rhône,red
51461,1.283868581414453,403_left,6575_right,pouilly fumé 'les chailloux silex',domaine chatelain, Frankreich ,Loire,white,les chailloux silex pouilly-fumé,domaine chatelain,Frankreich,Pouilly-Fumé,white
61974,1.2836385969316697,546_left,927_right,"grüner veltliner ""ried kreutles"" smaragd magnum",weingut emmerich knoll, Österreich ,Wachau,white,ried loibenberg loibner grüner veltliner smaragd,weingut knoll,Österreich,Wachau,white
33051,1.2806099417864834,253_left,5519_right,"chianti classico gran selezione ""vigna del sorbo"" magnum",az. agr. fontodi, Italien ,Toscana,red,vigna del sorbo gran selezione chianti classico,fontodi,Italien,Chianti Classico,red
91,1.266145716439443,2_left,7444_right,"amarone della valpolicella doc ""pietro dal cero""",cà dei frati, Italien ,Lombardei,red,pietro dal cero amarone della valpolicella,cà dei frati,Italien,Amarone della Valpolicella,red
5156,1.261036516561764,64_left,5315_right,"pinot noir trocken ""prago""",weingut metzger, Deutschland ,Pfalz,red,prago pinot noir,weingut metzger,Deutschland,Pfalz,red
58708,1.2467077457288551,496_left,7685_right,riesling trocken vom buntsandstein vdp.ortswein,ökonomierat rebholz, Deutschland ,Pfalz,white,vom buntsandstein riesling trocken,ökonomierat rebholz,Deutschland,Pfalz,white
79431,1.2467077457288551,777_left,7685_right,riesling trocken vom buntsandstein vdp.ortswein,ökonomierat rebholz, Deutschland ,Pfalz,white,vom buntsandstein riesling trocken,ökonomierat rebholz,Deutschland,Pfalz,white
48297,1.2366581431195158,351_left,3245_right,pinot blanc haus klosterberg,weingut markus molitor, Deutschland ,Mosel,white,haus klosterberg pinot blanc,markus molitor,Deutschland,Mosel,white
