,best_match_score,__id_left,__id_right,full_name_left,wine_country_left,wine_type_left,full_name_right,wine_country_right,wine_type_right
1805,1.3538806079888106,12_left,2454_right,PAUL MAS VIGNES DE NICOLE Rouge,Frankreich,red,Paul Mas Vignes de Nicole Rouge,Frankreich,red
23359,1.1734160530329945,264_left,6509_right,WINZER KREMS Grüner Veltliner,Österreich,white,Winzer Krems Chremisa Edition Grüner Veltliner,Österreich,white
7568,1.0965149964081327,66_left,5370_right,LA LUNA E I FALÒ Barbera d'Asti,Italien,red,Vite Colte La Luna e i Falò Barbera d'Asti Superiore,Italien,red
15363,0.9892885363928176,161_left,8192_right,PAUL MAS Vignes de Nicole Blanc,Frankreich,white,Paul Mas Vignes de Nicole l'Assemblage Blanc,Frankreich,white
19041,0.9859724057987533,201_left,9038_right,"MONTE ZOVO Lugana ""Le Civaie""",Italien,white,Monte Zovo Lugana Le Civaie,Italien,white
23176,0.94135526322605,262_left,452_right,RAWSON'S RETREAT Chardonnay,Australien,white,Rawson's Retreat Sémillon - Chardonnay,Australien,white
12135,0.9207190959342776,121_left,4365_right,MONTES Alpha Cabernet Sauvignon,Chile,red,Montes Alpha Cabernet Sauvignon,Chile,red
13716,0.8958978855169061,141_left,7320_right,ZANTHO Zweigelt,Österreich,red,Zantho Zweigelt,Österreich,red
13610,0.8764637713079847,139_left,4196_right,BRAZIN Lodi Old Vine Zinfandel,USA,red,Brazin (B) Old Vine Zinfandel Lodi,Vereinigte Staaten,red
17606,0.7942862705430402,187_left,800_right,FEUDO ARANCIO Grillo,Italien,white,Feudo Arancio Grillo Sicilia,Italien,white
8728,0.767405051471926,79_left,1503_right,CARPINETO Chianti Classico Riserva,Italien,red,Carpineto Chianti Classico Riserva,Italien,red
6179,0.7650859316651158,54_left,3807_right,SAN NICOLAO Barbera d'Asti,Italien,red,Vite Colte San Nicolao Barbera d'Asti,Italien,red
12134,0.7488362067016789,120_left,3830_right,MONTES Alpha Syrah,Chile,red,Montes Alpha Syrah,Chile,red
11838,0.7268502594110551,117_left,4450_right,MONTES Cabernet Sauvignon Reserva,Chile,red,Montes Reserva Cabernet Sauvignon (Classic),Chile,red
