id,wine_name,wine_country,wine_region,wine_year,wine_type,wine_price,wine_alcohol,wine_seller
1,Château Sansonnet   2019 Château Sansonnet Saint Emilion Grand Cru Classé, Frankreich ,Bordeaux,2019,red,0,13.5,1
2,"Cà dei Frati   2015 Amarone della Valpolicella DOC ""Pietro dal Cero""", Italien ,Lombardei,2015,red,0,16,1
3,Cà dei Frati   2019 Ronchedone Rosso Benaco Besciano IGT 375 ml, Italien ,Lombardei,2019,red,0,14,1
4,Domaine de la Janasse   2020 Côtes du Rhône Villages 'Terre d'Argile', Frankreich ,Rhône,2020,red,0,14.5,1
5,Domaine de la Janasse   2020 Côtes du Rhône rouge, Frankreich ,Rhône,2020,red,0,14.5,1
6,Domaine de la Janasse   2019 Terre de Bussière IGP, Frankreich ,Rhône,2019,red,0,14.5,1
7,Domaine de la Janasse   2019 Châteauneuf-du-Pape Rouge, Frankreich ,Rhône,2019,red,0,15,1
8,"Domaine de la Janasse   2019 Châteauneuf-du-Pape rouge ""Cuvée Vieilles Vignes""", Frankreich ,Rhône,2019,red,0,15.5,1
9,Markus Schneider   2020 Black Print, Deutschland ,Pfalz,2020,red,0,14,1
10,Weingut Metzger   2019 Schwarzer trocken, Deutschland ,Pfalz,2019,red,0,14.5,1
11,Podere Le Cinciole   2017 Petresco IGT Toscana, Italien ,Toscana,2017,red,0,14.5,1
12,Podere Le Cinciole   2018 Chianti Classico DOCg, Italien ,Toscana,2018,red,0,14.5,1
13,Podere Le Cinciole   2016 Chianti Classico Gran Selecione Aluigi, Italien ,Toscana,2016,red,0,14.5,1
14,Podere Le Cinciole   2016 Camalaione IGT Toscana, Italien ,Toscana,2016,red,0,14.5,1
15,Podere Le Cinciole   2017 Petresco IGT Toscana Magnum, Italien ,Toscana,2017,red,0,14.5,1
16,"Manincor, Bioweingut   2019 Lagrein 'Rubatsch'", Italien ,Südtirol/Alto Adige,2019,red,0,13,1
17,"Manincor, Bioweingut   2019 Dolomiti Rosso 'Réserve del Conte'", Italien ,Südtirol/Alto Adige,2019,red,0,13.5,1
18,"Manincor, Bioweingut   2020 Vernatsch 'Der Keil'", Italien ,Südtirol/Alto Adige,2020,red,0,13,1
19,Farnese Vini srl   2020 Primitivo Puglia 'I Muri', Italien ,Abruzzen,2020,red,0,14,1
20,Wein Direktimport Probierpaket   Probierpaket Bourgogne Rouge & Blanc, Frankreich ,Bourgogne,,red,0,,1
21,Biscardo   2019 Neropasso Rosso Veneto, Italien ,Veneto,2019,red,0,13.5,1
22,Markus Schneider   2017 STEINSATZ Rotwein, Deutschland ,Pfalz,2017,red,0,14.5,1
23,Château Ferran   2019 Château Ferran Pessac-Léognan, Frankreich ,Bordeaux,2019,red,0,14,1
24,Cà dei Frati   2019 Ronchedone Rosso Benaco Besciano IGT, Italien ,Lombardei,2019,red,0,14,1
25,Weingut Metzger   2019 Petit Noir trocken, Deutschland ,Pfalz,2019,red,0,14,1
26,"Weingut Metzger   2019 Spätburgunder trocken ""Vom Kalkstein""", Deutschland ,Pfalz,2019,red,0," 13,5 ",1
27,Domaine de Bila Haut   2020 Les Vignes de Bila Haut Rouge, Frankreich ,Roussillon,2020,red,0,14,1
28,"Domaine de Bila Haut   2018 L'esquerda, Côtes du Roussillon Villages Lesquerde", Frankreich ,Roussillon,2017,red,0,15.5,1
29,Opus One Winery   2018 Opus One, USA ,Napa Valley,2018,red,0,14,1
30,Dalla Valle Vineyards   2018 Maya, USA ,Napa Valley,2018,red,0,15.5,1
31,"Marchesi Antinori, Tenuta Tignanello   2018 Toscana IGT 'Solaia'", Italien ,Toscana,2018,red,0,15,1
32,Farnese Vini srl   2019 Primitivo di Manduria IL BACCA Luccarelli, Italien ,Manduria,2019,red,0,15.5,1
33,Château de Beaucastel/Familie Perrin   2019 Côtes du Rhône Rouge 'Réserve', Frankreich ,Rhône,2019,red,0,14,1
34,"Farnese Vini srl   2020 Montepulciano d'Abruzzo DOC ""Fantini"" Magnum", Italien ,Abruzzen,2020,red,0,13,1
35,"Farnese Vini srl   2020 Sangiovese Terre di Chieti IGT ""Fantini"" Magnum", Italien ,Abruzzen,2020,red,0,13,1
36,Giacomo Conterno   2017 Barolo DOCG Francia, Italien ,Piemont,2017,red,0,14,1
37,Wein Direktimport   Paket 'Barolo N°2', Italien ,Piemont,,red,0,,1
38,Wein Direktimport   Paket 'Barbera & Dolcetto', Italien ,Piemont,2020,red,0,,1
39,Giuseppe Rinaldi   2020 Barbera d’Alba DOC, Italien ,Piemont,2020,red,0,14,1
40,Giuseppe Rinaldi   2020 Dolcetto d’Alba DOC, Italien ,Piemont,2020,red,0,13.5,1
41,Giacomo Conterno   2019 Barbera d'Alba DOC 'Vigna Francia', Italien ,Piemont,2019,red,0,14,1
42,Giacomo Conterno   2019 Barbera d'Alba DOC 'Vigna Francia' Magnum, Italien ,Piemont,2019,red,0,14,1
43,Giacomo Conterno   2017 Barolo Arione, Italien ,Piemont,2017,red,0,14,1
44,Giacomo Conterno   2017 Barolo Cerretta, Italien ,Piemont,2017,red,0,14,1
45,Giacomo Conterno   2017 Barolo Cerretta Magnum, Italien ,Piemont,2017,red,0,14,1
46,Markus Schneider   2020 Ursprung Rotweincuvée, Deutschland ,Pfalz,2020,red,0,13.5,1
47,Borgo Scopeto   2018 Borgonero Rosso Toscana, Italien ,Toscana,2018,red,0,13.5,1
48,"Farnese Vini srl   2021 Novello ""Fantini""", Italien ,Abruzzen,2021,red,0,13,1
49,Farnese Vini srl   2020 Primitivo di Manduria 'Zolla', Italien ,Abruzzen,2020,red,0,14.5,1
50,Azienda Agricola Petra   2019 Toscana Rosso 'HEBO', Italien ,Maremma,2019,red,0,14,1
51,Château de Beaucastel/Familie Perrin   2019 Côtes du Rhône 'Coudoulet de Beaucastel', Frankreich ,Rhône,2019,red,0,14.5,1
52,Château de Beaucastel/Familie Perrin   2019 Châteauneuf-du-Pape Rouge, Frankreich ,Rhône,2019,red,0,14.5,1
53,Château de Beaucastel/Familie Perrin   2019 Gigondas 'L'Argnée' Vieilles Vignes Familie Perrin, Frankreich ,Rhône,2019,red,0,14.5,1
54,Château de Beaucastel/Familie Perrin   11 + 1: 2019 Côtes du Rhône 'Coudoulet de Beaucastel', Frankreich ,Rhône,2019,red,0,14.5,1
55,Fèlsina Società Agricola   Probierpaket Fèlsina mit sechs Flaschen, Italien ,Toscana," 2017, 2018, 2019 ",red,0,,1
56,Weingut Philipp Kuhn   2018 Pinot Noir Laumersheimer Réserve trocken, Deutschland ,Pfalz,2018,red,0,13.5,1
57,"Markus Schneider   2018 ""Rooi Olifant""", Südafrika ,Stellenbosch,2018,red,0,14,1
58,Fattoria Le Pupille   2017 Morellino di Scansano Riserva, Italien ,Toscana,2017,red,0,14,1
59,Fattoria Le Pupille   2018 Poggio Valente, Italien ,Toscana,2018,red,0,14,1
60,Fattoria Le Pupille   2020 Morellino di Scansano, Italien ,Toscana,2020,red,0,13.5,1
61,Fattoria Le Pupille   2018 SAFFREDI, Italien ,Toscana,2018,red,0,15,1
62,Fattoria Le Pupille   2018 SAFFREDI Magnum, Italien ,Toscana,2018,red,0,15,1
63,Albino Rocca   2019 Nebbiolo d'Alba DOC, Italien ,Piemont,2019,red,0,14,1
64,Albino Rocca   2018 Barbaresco DOCG, Italien ,Piemont,2018,red,0,14.5,1
65,Albino Rocca   2018 Barbaresco DOCG 'Ronchi', Italien ,Piemont,2018,red,0,14.5,1
66,Albino Rocca   2016 Barbaresco DOCG 'Ronchi' Riserva Magnum, Italien ,Piemont,2016,red,0,14.5,1
67,Albino Rocca   2016 Barbaresco DOCG 'Ronchi' Riserva, Italien ,Piemont,2016,red,0,14.5,1
68,"Weingut Metzger   2018 Pinot Noir trocken ""Prago""", Deutschland ,Pfalz,2018,red,0,13,1
69,Fèlsina Società Agricola   2018 Chianti Classico Riserva RANCIA, Italien ,Toscana,2018,red,0,13.5,1
70,Fèlsina Società Agricola   2018 Chianti Classico Riserva Berardenga, Italien ,Toscana,2018,red,0,13.5,1
71,Fèlsina Società Agricola   2019 Chianti Classico Berardenga, Italien ,Toscana,2019,red,0,13,1
72,Fèlsina Società Agricola   2018 Chianti Classico Riserva RANCIA Magnum, Italien ,Toscana,2018,red,0,13.5,1
73,Fèlsina Società Agricola   2018 Fontalloro Toscana Rosso, Italien ,Toscana,2018,red,0,14,1
74,Celler de Capçanes   2019 Peraj Ha'abib Flor de Primavera, Spanien ,Tarragona,2018,red,0,15,1
75,Azienda Agricola Elio Grasso   2017 Barolo DOCG 'Gavarini Chiniera', Italien ,Piemont,2017,red,0,14.5,1
76,Azienda Agricola Elio Grasso   2017 Barolo DOCG 'Ginestra Casa Maté', Italien ,Piemont,2017,red,0,15,1
77,Reva   2017 Barolo, Italien ,Piemont,2017,red,0,14.5,1
78,Masseto   2019 Massetino, Italien ,Toscana,2019,red,0,15.5,1
79,Domaine Mee Godard   2019 Morgon 'Corcelette', Frankreich ,Bourgogne,2019,red,0,14,1
80,Domaine Mee Godard   2019 Moulin à Vent 'Au Michelon', Frankreich ,Bourgogne,2019,red,0,14,1
81,Domaine Mee Godard   2019 Morgon 'Côte du Py', Frankreich ,Bourgogne,2019,red,0,14,1
82,"Bodegas Matallana, Telmo Rodriguez, Bioweingut   2020 Ribera del Duero ""Gazur""", Spanien ,Ribera del Duero,2020,red,0,14,1
83,"Markus Schneider   2018 ""Tohuwabohu"" Rotweincuvée", Deutschland ,Pfalz,2018,red,0,14.5,1
84,Domaine des Aires Hautes   2019 Minervois Tradition, Frankreich ,Languedoc,2019,red,0,14.5,1
85,Domaine Faiveley   2019 Chambertin-Clos de Bèze Grand Cru, Frankreich ,Bourgogne,2019,red,0,13.5,1
86,Domaine Faiveley   2019 Gevrey-Chambertin 1er Cru 'Les Cazetiers', Frankreich ,Bourgogne,2019,red,0,13.5,1
87,Domaine Faiveley   2019 Corton Grand Cru 'Clos des Cortons Faiveley' Monopole, Frankreich ,Bourgogne,2019,red,0,13.5,1
88,Cantina Bartolo Mascarello   2020 Dolcetto d’Alba, Italien ,Piemont,2020,red,0,14,1
89,Domaine Dujac   2019 Chambolle-Musigny AC Dujac Père & Fils, Frankreich ,Bourgogne,2019,red,0,13.5,1
90,Maxime Dubuet Boillot   2019 Volnay 'Sur Roches', Frankreich ,Bourgogne,2019,red,0,13.5,1
91,Domaine des Remizières   2019 Crozes Hermitage Rouge 'Cuvée Particulière', Frankreich ,Rhône,2019,red,0,14.5,1
92,Domaine des Remizières   2018 Hermitage Rouge 'Cuvée Emilie', Frankreich ,Rhône,2018,red,0,14,1
93,Domaine des Remizières   2018 Hermitage Rouge 'Autrement', Frankreich ,Rhône,2018,red,0,14.5,1
94,Domaine de Bila Haut   2018 Côtes du Roussillon Villages 'Agly Brothers', Frankreich ,Roussillon,2018,red,0,15.5,1
95,"Domaine de Bila Haut   2018 Occultum Lapidem ROUGE, Cts. du Roussillon Vill. Latour de France", Frankreich ,Roussillon,2018,red,0,14.5,1
96,Weingut Prechtl   2018 Menage à Trois, Österreich ,Weinviertel DAC,2018,red,0,13,1
97,Clos Saint Jean   2019 Châteauneuf-du-Pape rouge 'Deus Ex Machina' Magnum, Frankreich ,Rhône,2019,red,0,16,1
98,Clos Saint Jean   2019 Châteauneuf-du-Pape rouge 'Deus Ex Machina', Frankreich ,Rhône,2019,red,0,16,1
99,Clos Saint Jean   2020 Les Calades, Frankreich ,Rhône,2020,red,0,14.5,1
100,Clos Saint Jean   2019 Châteauneuf-du-Pape rouge, Frankreich ,Rhône,2019,red,0,16,1
101,Le Vieux Donjon   2019 Châteauneuf-du-Pape Rouge, Frankreich ,Rhône,2019,red,0,15,1
102,Le Vieux Donjon   2019 Châteauneuf-du-Pape Rouge Magnum, Frankreich ,Rhône,2019,red,0,15,1
103,Giuseppe Rinaldi   2017 Barolo Tre Tine, Italien ,Piemont,2017,red,0,14,1
104,Domaine Christian Clerget   2019 Morey Saint Denis Rouge, Frankreich ,Bourgogne,2019,red,0,13.5,1
105,Domaine Christian Clerget   2019 Vosne Romanée 'Les Violettes', Frankreich ,Bourgogne,2019,red,0,13.5,1
106,Domaine Christian Clerget   2019 Bourgogne Rouge, Frankreich ,Bourgogne,2019,red,0,13.5,1
107,Domaine Christian Clerget   2019 Echezaux Grand Cru 'En Orveaux', Frankreich ,Bourgogne,2019,red,0,13.5,1
108,Borgo Molino   2019 Merlot Scuri, Italien ,Veneto,2019,red,0,13,1
109,Borgo Molino   2017 Rosso IGT 'Serna 932', Italien ,Veneto,2017,red,0,15,1
110,Isole e Olena s.r.l.   2016 Chianti Classico Magnum, Italien ,Toscana,2016,red,0,14,1
111,Ottella   2019 Valpolicella DOC, Italien ,Veneto,2019,red,0,12.5,1
112,Domaine Hudelot-Noëllat   2019 Bourgogne Rouge AC, Frankreich ,Bourgogne,2019,red,0,13.5,1
113,Domaine Hudelot-Noëllat   2019 Chambolle-Musigny AC, Frankreich ,Bourgogne,2019,red,0,13.5,1
114,Domaine Hudelot-Noëllat   2019 Nuits St. Georges 'Les Bas du Combe', Frankreich ,Bourgogne,2019,red,0,14,1
115,"Az. Agr. Fontodi   2016 Flaccianello + 2018 Chianti Classico, Paket mit 6 Flaschen", Italien ,Toscana,2016,red,0," 14.5, 15 ",1
116,Quinta do Infantado   2017 Vinha do Infante, Portugal ,Douro,2017,red,0,14.5,1
117,Domaine des Aires Hautes   2018 Minervois 1er Cru La Livinière, Frankreich ,Languedoc,2018,red,0,14.5,1
118,Reva   2019 Barbera d'Alba DOC Supériore, Italien ,Piemont,2019,red,0,14.5,1
119,Reva   2020 Dolcetto d'Alba DOC, Italien ,Piemont,2020,red,0,12.5,1
120,Reva   2016 Barolo, Italien ,Piemont,2016,red,0,14.5,1
121,Reva   2016 Barolo Ravera, Italien ,Piemont,2016,red,0,14.5,1
122,Reva   2016 Barolo Cannubi, Italien ,Piemont,2016,red,0,15,1
123,Domaine des Bosquets   2019 Gigondas AC Rouge 'La Colline', Frankreich ,Rhône,2019,red,0,14.5,1
124,Domaine des Bosquets   2019 Gigondas 'Réserve' Rouge, Frankreich ,Rhône,2019,red,0," 14,5 ",1
125,Domaine des Bosquets   2020 Le Petit Vin, Frankreich ,Rhône,2020,red,0,14,1
126,Domaine des Bosquets   2019 Gigondas AC Rouge 'Les Routes', Frankreich ,Rhône,2019,red,0,14.5,1
127,Domaine des Bosquets   2019 Gigondas AC Rouge 'Les Roches', Frankreich ,Rhône,2019,red,0,14.5,1
128,Domaine des Bosquets   2020 Côtes du Rhône Villages 'La Jérôme', Frankreich ,Rhône,2020,red,0,14.5,1
129,Domaine des Bosquets   2019 Gigondas AC Rouge 'Le Lieu Dit', Frankreich ,Rhône,2019,red,0,14.5,1
130,Domaine des Bosquets   2019 Châteaunef-du-Pape 'Le Castellas', Frankreich ,Rhône,2019,red,0,14.5,1
