ID,Name:,Hersteller:,Erzeugnis aus:,Region:,Wein:,Jahrgang:,Rebsorte:,Qualität:,Alkohol in %:,Geschmack:,Allergene:,Ausbauart:,Trinktemperatur in °C:,Trinkempfehlung:,Verschluß:,Auszeichnungen:,Paßt zu:,Lage:,Boden:,Essen:,Herstellung:,Dekantieren:,Säure g/l:,Restzucker g/l:,Produkt aus biologischem Anbau:,Biokontrollstelle:,Diverses:,Zutaten:,Verkäufer:,Verkostungsnotiz:
1,   Château Sansonnet   2019 Château Sansonnet Saint Emilion Grand Cru Classé ," Château Sansonnet, 1, lieu-dit Sansonnet, F-33330 Saint Emilion ", Frankreich ," Bordeaux, Saint-Emilion ", Rotwein ,2019," 85% Merlot, 8% Cabernet Franc, 7% Cabernet Sauvignon ", AOC , 13.5 , trocken , Enthält Sulfite , Barriquefaß , 14 - 18 , 2025 - 2040 , Naturkork , Robert Parker ,,,,,,,,,,,,,1," Lisa Perrotti-Brown, Wine Advocate, Juni 2020: „Opaque garnet-purple in color, the 2019 Sansonnet comes skipping out of the glass with vibrant notes of Morello cherries, blueberry compote, mulberries and warm black plums plus hints of raspberry leaves, Sichuan pepper, cassia and cumin seed with a waft of tree bark. The full-bodied palate is packed with crunchy black and red fruits, framed by exquisitely ripe, rounded tannins and bold freshness, finishing very long and mineral laced. Beautiful!“ Vinum, Bordeaux Extra Primeur 2019, September 2020: „Superbe, umwerfend fruchtige Aromatik, Brombeere und Kirsche; voller Ansatz, dichter, fleischiger Bau, einmalig feinkörniges und doch saftiges Tannin, lange Finale; einmalige Präzision, zeitgemässe, gelungene Interpretation eines grossen Terroirs.“ Peter Moser, Falstaff Bordeaux Primeur 2019: „Tiefdunkles Rubingranat, opaker Kern, violette Reflexe, zarte Randaufhellung. Mit zarter Kräuterwürze unterlegte frische Beerenfrucht, tabakige Nuancen, zart nach Kirschen. Mittlere Komplexität, rotbeerige Nuancen, dezente Tannine, mineralisch, wirkt leichtfüßig, vielseitiger Speisenbegleiter.“"
2,"   Cà dei Frati   2015 Amarone della Valpolicella DOC ""Pietro dal Cero"" "," Cà dei Frati, Via Frati 22, 25019 Lugana di Sirmione ", Italien , Lombardei , Rotwein ,2015," Corvina, Corvinone, Croatina, Rondinella "," Amarone di Valpolicella, DOC ", 16.0 , trocken , Enthält Sulfite ,, 16 - 18 , bis 2035 , Naturkork , Wein Direktimport ," Käse., Schmorbraten, Wild ",Luximan in Pian di Castigné,Kalkreich mit Bruchstein und Lehm,"Am besten zu gehaltvollen Schmorbraten, zu Wildgerichten und zu gereiftem Käse.",,,,,,,,,1," Bereits das dunkle, fast schwarze Rubinrot des Weines kündigt ein Feuerwerk der Aromen an. In der Nase und am Gaumen hat er eine üppige Frucht, Aromen unter anderem von feinherben Schattenmorellen, Rosenblüten, eingelegten Früchten, Schokolade und Kaffee. Etwas Sternais und Minze sorgen für blumige Nuancen und große Finesse. Der Wein ist kraftvoll, er ist dicht und harmonisch, feine balsamische Würze rundet den grandiosen Geschmackseindruck perfekt ab."
3,   Cà dei Frati   2019 Ronchedone Rosso Benaco Besciano IGT 375 ml ," Cà dei Frati, Via Frati 22, 25019 Lugana di Sirmione ", Italien , Lombardei , Rotwein ,2019," Cabernet Sauvignon, Marzemino, Sangiovese ", IGT , 14.0 , trocken , Enthält Sulfite , Barriquefaß , 14 - 18 , 2029+ , Naturkork , Wein Direktimport ," Pasta, Suppe, Wild ",Ronchedone und La Tür bei Desenzano del Garda,Kalkhaltige Lehmböden mit sandiger Auflage,"Zu Fleischgerichten, Wildgeflügel, Wild, Pasta mit Fleischsugo von Wild und Rind, kräftigen Fleischsuppen italienischer Art","Maischegärung im Edelstahltank, dann 14 Monate Ausbau im Barrique",,,,,,,,1," Der 2019 Ronchedone hat eine würzige, intensiv fruchtige Nase mit Aromen unter anderem von reifen Kirschen, Preiselbeeren, Cranberrys, Brombeeren und Hagebutte.Am Gaumen ist er sehr saftig, druckvoll und fordernd mit intensiven Fruchtaromen. Die gut eingebundene, erfrischende Säure und das präsente, aber reife und samtige Tanin machen den Genuß perfekt."
4,   Domaine de la Janasse   2020 Côtes du Rhône Villages 'Terre d'Argile' ," Domaine de la Janasse, Domaine de La Janasse, Christophe et Isabelle Sabon, 27, Chemin du Moulin, 84350 Courthezon ", Frankreich ," Rhône, südlicher Bereich ", Rotwein ,2020," Carignan, Grenache Noir, Mourvèdre/Monastrell, Syrah ", Côtes du Rhône Villages , 14.5 , trocken , Enthält Sulfite , großes Holzfaß , 14 - 18 , 2027+ , Kork , Wein Direktimport ," Käse, jung, Lamm, Rind ",,,,,,,,,,,,1," Was für ein wunderbarer Korken! Länge 54 mm, aus einem Stück, das ist Grand Cru Niveau. Der Duft ist herrlich, dezent Zedernholz, etwas Portwein, warm und zart, ein Tick Muskatnuß, und das war erst der Korken. Leise gluckert der kirschrote 2020 Côtes du Rhône Villages 'Terre d'Argile' ins Glas, rubinrote Reflexe deuten auf dezente Reife hin. Die Nase ist frisch, hier präsente Aromen von Süßkirsche, Brombeere, Cassis, ganz klassisch Côtes du Rhône. Dazu noch Heidelbeere, Sauerkirsche, nach ein wenig Luftkontakt Pflaume, Thymian, weißer Pfeffer, Eukalyptus, Süßholz, Tapenade und nasser Stein. Würzig, aber nicht zu dick, das riecht so wunderbar „old school“, wie es vor 25 Jahren bei jedem guten Côtes du Rhône der Fall war.Am Gaumen startet der 2020 Terre d’Argile würzig, aber nicht marmeladig dick, hier setzen sich Mourvèdre und Syrah perfekt in Szene und sorgen für die elegante, anregende Struktur, ergänzt von kühler Mineralik. Mürbe, sanfte Gerbstoffe und die reife Säure ergänzen die harmonische Struktur perfekt. Das ist ein wunderbarer Wein, unglaublich trinkig, sehr fein als Solist, aber auch perfekt zur mediterranen Gemüseküche oder Fleisch vom Grill."
5,   Domaine de la Janasse   2020 Côtes du Rhône rouge ," Domaine de la Janasse, Domaine de La Janasse, Christophe et Isabelle Sabon, 27, Chemin du Moulin, 84350 Courthezon ", Frankreich ," Rhône, südlicher Bereich ", Rotwein ,2020," Carignan, Cinsault, Grenache Noir, Mourvèdre/Monastrell, Syrah ", AOC , 14.5 , trocken , Enthält Sulfite , 1200 l Fuder , 14 - 18 , 2027+ , Naturkork ,,,bei Courthézon,"Sand, Kiesel, Kalkstein","Gegrilltes Lamm, Hirschkalbrücken, Ente",Ausbau im Fuderfaß, etwa 30 Minuten ,,,,,,,1," Der 2020 Côtes du Rhône Rouge entwickelt nach längerem Luftkontakt eine wunderbare, intensive Aromatik. Deutlich sind die frischen Aromen von reifen Brombeeren und Sauerkirschen zu erkennen, gefolgt von zartem Süßmandelaroma, Hagebutte, Rauch und etwas Süßholz. Dazu kommt noch eine Prise Nelke, Leder und weißer Pfeffer.Am Gaumen ist der Wein frisch, saftig und rollt geschmeidig über die Zunge Richtung Rachen. Die Gerbstoffe sind frisch und haben eine seidige Textur, die Fruchtsäure ist präsent aber harmonisch, ein ganz feiner süßer Kern schließt den ersten Eindruck perfekt ab."
6,   Domaine de la Janasse   2019 Terre de Bussière IGP ," Domaine de la Janasse, Domaine de La Janasse, Christophe et Isabelle Sabon, 27, Chemin du Moulin, 84350 Courthezon ", Frankreich ," Rhône, südlicher Bereich ", Rotwein ,2019," Merlot, Syrah, Grenache Noir, Cabernet Sauvignon ", Principauté-d'Orange IGP  , 14.5 , trocken , Enthält Sulfite ," 30% Barrique, großes Holzfaß ", 14 - 18 , 2027+ , Kork , Wein Direktimport ,,,,,, etwa 30 Minuten ,,,,,,,1," Beim 2019 Terre de Bussière gibt es die gewohnt perfekte Kombination aus weicher, saftig-frischer Merlotfrucht mit der lebhaft-würzigen Frucht des Syrah. In der Nase viel dunkle Frucht, reife Kirsche, schwarze Johannisbeere und Schokolade, im Hintergrund etwas Kaffee und Herbes de Provence. Am Gaumen ist er sehr harmonisch, Säure und Gerbstoff sind perfekt dosiert und in die warme, weiche Frucht integriert. Ein herrlicher Gaumenschmeichler mit Niveau.Nicht nur zur mediterranen Küche ein Genuß, auch solo macht er eine gute Figur."
7,   Domaine de la Janasse   2019 Châteauneuf-du-Pape Rouge ," Domaine de la Janasse, Domaine de La Janasse, Christophe et Isabelle Sabon, 27, Chemin du Moulin, 84350 Courthezon ", Frankreich ," Rhône, südlicher Bereich ", Rotwein ,2019," Cinsault, Grenache, Mourvèdre/Monastrell, Syrah ", Châteauneuf-du-Pape , 15.0 , trocken , Enthält Sulfite ," 1200 l Fuder, Barriquefaß ", 14 - 18 , 2024 - 2040 , Naturkork , Wein Direktimport ,,Diverse Terroirs auf dem Plateau de La Crau,"Sand, Kiesel, roter Kalkstein",,"Ausbau zu 80% Fuderfaß, 20% im Barriquefaß, davon ein Drittel neues Holz", etwa 30 Minuten ,,,,,,,1," Die wunderbare dunkle Farbe des 2019 Chateauneuf du Pape ist schon sehr verlockend, die Nase mit ausgeprägten Aromen von reifen Brombeeren, roten Johannisbeeren, Tapenade, reifen Pflaumen und Süßkirschen, ergänzt von Veilchenduft, zieht einen vollständig in den Bann. Am Gaumen mit seidig-kraftvollem Auftakt und überraschender Eleganz. Die wunderbar harmonische Struktur, kombiniert mit seidigen Gerbstoffen, der saftigen Frucht und feinen, leicht salziger Mineralik gehört mit zum Besten, was diese Region an Weinen hervorbringt."
8,"   Domaine de la Janasse   2019 Châteauneuf-du-Pape rouge ""Cuvée Vieilles Vignes"" "," Domaine de la Janasse, Domaine de La Janasse, Christophe et Isabelle Sabon, 27, Chemin du Moulin, 84350 Courthezon ", Frankreich ," Rhône, südlicher Bereich ", Rotwein ,2019," Grenache Noir, Mourvèdre/Monastrell, Syrah "," AOC, Premiumwein ", 15.5 , trocken , Enthält Sulfite ," 600 l Halbstückfaß, 1200 l Fuder ", 14 - 18 , 2027 - 2047 , Naturkork ,,,4 Parzellen mit untersch. Böden,"Kiesel, roter Lehm, kiesig-sandiges Schwemmland, Sand-Kalk",,"Ausbau zu 75% Fuderfaß, 25% im 600 l Faß", etwa 60 Minuten ,,,,,,,1,
9,   Markus Schneider   2020 Black Print ," Markus Schneider, Markus Schneider GbR, Am Hohen Weg 1, 67158 Ellerstadt ", Deutschland , Pfalz , Rotwein ,2020," Blaufränkisch/Lemberger, Cabernet Dorsa, Cabernet Sauvignon, Merlot ", Qualitätswein , 14 , trocken , Enthält Sulfite , großes Holzfaß , 14 - 18 , 2025+ , Naturkork ,,,,,,, etwa 30 Minuten ,,,,,,,1," Der 2020 Black Print ist tiefdunkel mit fast schwarzem Kern und intensiven violetten Reflexen, in der Nase hat der Black Print deutliche Aromen von Süßkirschen, Brombeeren, schwarze Johannisbeeren, dazu weitere dunkle Beeren, er ist wunderbar frisch und hat eine perfekte Struktur.Am Gaumen ist er saftig, frisch, zupackend, dicht und würzig. Bei aller Konzentration bleibt der Wein überraschend elegant, seidige, reife Tanine und die reife mittlere Fruchtsäure machen in bereits jetzt zu einem unglaublich verführerischen Rotwein."
10,   Weingut Metzger   2019 Schwarzer trocken ," Weingut Metzger, Uli Metzger Langgasse 34, 67269 Grünstadt-Asselheim ", Deutschland , Pfalz , Rotwein ,2019," Cabernet Sauvignon, Merlot, Cabernet Franc ", Qualitätswein , 14.5 , trocken , Enthält Sulfite ,, 14 - 18 , bis 2029 , Naturkork ,,,,"Kalkstein, Lehm","Wild, Wildschwein, Rind",, etwa 30 Minuten , 5.7 , 0.5 ,,,,,1," In der Nase hat der dunkel gefärbte 2019 Schwarzer intensive Aromen von Cassis und Pflaumen ergänzt von gewürzigen Aromen von Pfeffer und Piment.Am Gaumen intensiver Auftakt, gefolgt von kraftvoller Struktur und erstaunlich reifen, weichen Gerbstoffen. Hier wieder die feine Pfefferwürze, ergänzt von etwas Schokolade und Kaffeepulver. Kraftvoll und intensiv bis in den langen Abgang hinein, er paßt perfekt zu dunklem Fleisch vom Grill oder aus dem Ofen.  "
