ID,Name:,Hersteller:,Erzeugnis aus:,Region:,Wein:,Jahrgang:,Rebsorte:,Qualität:,Alkohol in %:,Geschmack:,Allergene:,Ausbauart:,Trinktemperatur in °C:,Trinkempfehlung:,Verschluß:,Auszeichnungen:,Paßt zu:,Lage:,Boden:,Essen:,Herstellung:,Dekantieren:,Säure g/l:,Restzucker g/l:,Produkt aus biologischem Anbau:,Biokontrollstelle:,Diverses:,Zutaten:,Verkäufer:,Verkostungsnotiz:
1,"2016 Cascina Castlèt Passum Barbera d'Asti D.O.C.G. Superiore 1,5l Magnum",Cascina Castlet,Italien,Piemont,Rotwein,2016,Barbera,,,trocken,,,,,,,"Dunkles Fleisch, Wildgeflügel, Hartkäse, Risotto, Trüffel, Vorspeise",,,,,,,,,,,,2,"Dieser Barbera steht in einer Reihe mit Barolo und Barbaresco. Ein Triumph der traditionellen roten Rebe Piemonts!  Ein Symbol, vielleicht ein ""Mandala"", vielleicht ein antikes ""P"", vielleicht eine Sonne, direkt im Siebdruckverfahren auf das Glas gebrannt, unvergänglich, wie die Erinnerung an diesen Wein selbst. Ein Zeichen, ein Symbol zeitloser Überlieferung und zugleich grafischer Aktualität. Der Name ruft einige berühmte Weine aus der Antike ins Gedächtnis, die aus überreifen oder leicht angetrockneten (""passito"") Trauben hergestellt wurden. Die Tradition des aus angetrockneten Trauben hergestellten Barbera ist im Astigiano alt. Es wurden stets nur die allerbesten Trauben dafür verwendet. Der Passum ist heute das Flaggschiff von Cascina Castlèt, da er einerseits ausschliesslich aus der wichtigsten Rebsorte der Gegend hergestellt wird, andererseits eine sehr moderne Interpretation des Althergebrachten darstellt und damit zeigt, dass es auch in an sich armer bäuerlicher Tradition immer ein Eliteprodukt gab. Der Wein ist von intensiv granatroter Farbe. Ein reiches, elegantes und langanhaltendes Bouquet ruft Pflaumen- und Johannesbeer-Konfitüre in den Sinn. Herb, nobel, warm, samtig im Geschmack, womit Wucht und Konzentration des Weines hervorgehoben werden. Ausgeglichenheit und große Harmonie werden einerseits durch milde Tannine unterstrichen, die zur Süsse neigen und andererseits durch einen unaufdringlichen Säuregehalt. Das Anhalten des Aromas ist lang und intensiv, ein besonderes Merkmal für große Weine, die sich zur langen Lagerung eignen. Herkunftsland: Italien. Enthält Sulfite. Alkoholgehalt: 14,5%Vol. Verantwortlicher Lebensmittelunternehmer: Cascina Castlèt | Strada Castelletto 6 | I-14055 Costigliole d'Asti (AT) "
2,"2017 Cascina Castlèt Litina Barbera d'Asti D.O.C.G. Superiore 1,5l Magnum",Cascina Castlet,Italien,Piemont,Rotwein,2016,Barbera,,,trocken,,,,,,,"Dunkles Fleisch, Wildgeflügel, Risotto, Trüffel, Vegetarisch, Vorspeise",,,,,,,,,,,,2,"Im Zeichen der drei ""C"": Litina, der köstliche Barbera Superiore aus dem Herzen des Piemonts! Der Barbera d'Asti Superiore ""Litina"" ist der einzige Wein, der auf dem Etikett das Markenzeichen des Hauses trägt: die drei ""C"", Anfangsbuchstaben von Cascina Castlèt Costigliole d'Asti. Eine bereits verstorbene Großtante, Litina war ihr Name, brachte seinerzeit den Weinberg, der heute ihren Namen trägt, als Mitgift mit - eine weitere Episode in der weiblich geprägten Geschichte des Weingutes, das heute von Ada und Mariuccia Borio geführt wird. Litina ist das Herz des Weingutes, der perfekte Botschafter für das Piemont und darüber hinaus ein großartiger Rotwein. Intensiv rubinrot, nach längerer Lagerung zu granatrot neigend. Reichhaltiges Bouquet von Waldbeeren, dunklen Steinfrüchten und etwas Vanille. Trocken, warm im Geschmack, körperreich und gut strukturiert, hebt er die Typizität der Rebsorte besonders hervor. Großartig vollmundig und ausgewogen, lang und intensiv anhaltend. Sichern Sie sich die Jubiläumsausgabe ""50 Anni"": vor 50 Jahren hat Mariuccia ihren ersten Wein bereitet - natürlich Barbera Superiore Litina! "
3,2017 Cascina Castlèt Passum Barbera d'Asti D.O.C.G. Superiore,Cascina Castlet,Italien,Piemont,Rotwein,2017,Barbera,,,trocken,,,,,,,"Dunkles Fleisch, Wildgeflügel, Hartkäse, Risotto, Trüffel, Vorspeise",,,,,,,,,,,,2,"Dieser Barbera steht in einer Reihe mit Barolo und Barbaresco. Ein Triumph der traditionellen roten Rebe Piemonts!  Ein Symbol, vielleicht ein ""Mandala"", vielleicht ein antikes ""P"", vielleicht eine Sonne, direkt im Siebdruckverfahren auf das Glas gebrannt, unvergänglich, wie die Erinnerung an diesen Wein selbst. Ein Zeichen, ein Symbol zeitloser Überlieferung und zugleich grafischer Aktualität. Der Name ruft einige berühmte Weine aus der Antike ins Gedächtnis, die aus überreifen oder leicht angetrockneten (""passito"") Trauben hergestellt wurden. Die Tradition des aus angetrockneten Trauben hergestellten Barbera ist im Astigiano alt. Es wurden stets nur die allerbesten Trauben dafür verwendet. Der Passum ist heute das Flaggschiff von Cascina Castlèt, da er einerseits ausschliesslich aus der wichtigsten Rebsorte der Gegend hergestellt wird, andererseits eine sehr moderne Interpretation des Althergebrachten darstellt und damit zeigt, dass es auch in an sich armer bäuerlicher Tradition immer ein Eliteprodukt gab. Der Wein ist von intensiv granatroter Farbe. Ein reiches, elegantes und langanhaltendes Bouquet ruft Pflaumen- und Johannesbeer-Konfitüre in den Sinn. Herb, nobel, warm, samtig im Geschmack, womit Wucht und Konzentration des Weines hervorgehoben werden. Ausgeglichenheit und große Harmonie werden einerseits durch milde Tannine unterstrichen, die zur Süsse neigen und andererseits durch einen unaufdringlichen Säuregehalt. Das Anhalten des Aromas ist lang und intensiv, ein besonderes Merkmal für große Weine, die sich zur langen Lagerung eignen. Herkunftsland: Italien. Enthält Sulfite. Alkoholgehalt: 14,5%Vol. Verantwortlicher Lebensmittelunternehmer: Cascina Castlèt | Strada Castelletto 6 | I-14055 Costigliole d'Asti (AT) "
4,2017 Cascina Castlèt Litina Barbera d'Asti D.O.C.G. Superiore,Cascina Castlet,Italien,Piemont,Rotwein,2017,Barbera,,,trocken,,,,,,,"Dunkles Fleisch, Wildgeflügel, Risotto, Trüffel, Vegetarisch, Vorspeise",,,,,,,,,,,,2,"Im Zeichen der drei ""C"": Litina, der köstliche Barbera Superiore aus dem Herzen des Piemonts! Der Barbera d'Asti Superiore ""Litina"" ist der einzige Wein, der auf dem Etikett das Markenzeichen des Hauses trägt: die drei ""C"", Anfangsbuchstaben von Cascina Castlèt Costigliole d'Asti. Eine bereits verstorbene Großtante, Litina war ihr Name, brachte seinerzeit den Weinberg, der heute ihren Namen trägt, als Mitgift mit - eine weitere Episode in der weiblich geprägten Geschichte des Weingutes, das heute von Ada und Mariuccia Borio geführt wird. Litina ist das Herz des Weingutes, der perfekte Botschafter für das Piemont und darüber hinaus ein großartiger Rotwein. Intensiv rubinrot, nach längerer Lagerung zu granatrot neigend. Reichhaltiges Bouquet von Waldbeeren, dunklen Steinfrüchten und etwas Vanille. Trocken, warm im Geschmack, körperreich und gut strukturiert, hebt er die Typizität der Rebsorte besonders hervor. Großartig vollmundig und ausgewogen, lang und intensiv anhaltend. Sichern Sie sich die Jubiläumsausgabe ""50 Anni"": vor 50 Jahren hat Mariuccia ihren ersten Wein bereitet - natürlich Barbera Superiore Litina! Herkunftsland: Italien. Enthält Sulfite. Alkoholgehalt: 14,5%Vol. Verantwortlicher Lebensmittelunternehmer: Cascina Castlèt | Strada Castelletto 6 | I-14055 Costigliole d'Asti (AT) "
5,2020 Nicolas Duffour Le Galopin de Gascogne Rouge I.G.P.,,Frankreich,Gascogne,Roséwein,,"Cabernet Sauvignon, Merlot, Tannat",,,,,,,,,,,,,,,,,,,,,,2,"  Neu bei divino: Die drei Schlingel aus der Gascogne ""Le Galopin"", zu Deutsch ""Der Schlingel"": Das ist der Name der drei neuen divino Weine in weiß, rosé und rot von Nicolas Duffour aus dem Gers in der Gascogne. Die Landschaft befindet sich am nördlchen Pyrenäenrand und bietet ein einmaliges Terroir, liegt sie doch nicht nur im Klimakorridor zwischen Atlantik und Mittelmeer, sondern stellt für den Weinbau auch verschiedene Lehm- und Kalkböden in mehreren Höhenstufen zur Verfügung. Der Galopin Rouge übersetzt die Tugenden der beiden Brüder ins Rote: Ein frischer, junger Rotwein, der gern gekühlt getrunken werden darf. Die Assemblage ist 25% Merlot, 25% Cabernet Sauvignon und 50% Tannat, eine alte, tanninreiche und himbeerfruchtige Rebsorte aus den Pyrenäen, die dem Wein seinen unverwechsaelbaren Charakter verleiht. Wein aus Frankreich. Enthält Sulfite. Alkoholgehalt: 13,5%Vol. Verantwortlicher Lebensmittelunternehmer: Nicolas Duffour | Domaine Saint-Lannes | F-32330 Lagraulet-du-Gers   "
6,2016 Château Godard Bellevue Francs Côtes de Bordeaux A.C. Rouge,,Frankreich,Bordeaux,Rotwein,,"Cabernet Franc, Cabernet Sauvignon, Merlot",,,,,,,,,,,,,,,,,,,,,,2,"Neu bei divino: Château Godard Bellevue - ein feiner, Merlot-dominierter Bordeaux aus Francs! Francs ist eine kleinere Bordeaux-Apellationen östlich von Libourne. Traditionell wird hier im Merlot-dominierten Stil, ähnlich wie in den benachbarten Pomerol, Sain-Émilion und Montagne, gearbeitet. Bernadette und Joseph Arbo, die Eltern von Dorian Arbo, keltern auf ihren beiden Liegenschaften (die Châteaux Puyanché und Godard Bellevue), fünf verschiedene Rotweine, dazu einen Weißwein und einen Rosé. Der 2016er Château Godard Bellevue ist ein von 35 bis 45 Jahre alten Rebstöcken gelesener Bordeaux aus 65% Merlot, 20% Cabernet Franc und 15% Cabernet Sauvignon. Der Ausbau erfolgt über 12 Monate in Barriques, davon 30% neu. Die feine Nase zeigt dunkle, reife Würze mit Anklängen von Wacholder, Piment und Zeder, dazu Wildkirsche und Cassis. Am Gaumen mittelschwer mit schöner Mundfülle und nicht überreifer Frucht, wirkt der Wein trotz der griffigen Tannine saftig und elegant, wozu der warme, anhaltende Abgang beiträgt. Ein typischer Merlot-Bordeaux, an dem Sie noch viele Jahre Freude haben werden! "
7,2019 Château Arbo Bordeaux A.O.C. Montagne-Saint-Émilion,,Frankreich,Bordeaux,Rotwein,,"Cabernet Franc, Merlot",,,,,,,,,,,,,,,,,,,,,,2,"Exklusiv für Deutschland: Ein umwerfender Spitzen-Bordeaux aus Montagne-Saint-Émilion! Astrid Jordana und Dorian Arbo, beide Winzerfamilien entsprossen, konnten sich mit der Restaurierung und Reaktivierung dieses Mini-Weingutes (nur 8.000 Flaschen in 2018!) in den Hügeln über Saint-Émilion einen Traum erfüllen. Mit viel Respekt vor der Natur entsteht auf dem wunderschönen Anwesen seit 2015 ein hochklassiger, individueller Rotwein. Der 2019er ist ein spät gelesener, kraftvoller Bordeaux aus 88% Merlot und 12% Cabernet Franc, der aufgrund seiner Intensität einen 14-monatigem Ausbau je zur Hälfte in neuen und bereits verwendeten Barriques ermöglichte. Die intensive, komplexe Nase zeigt sofort die typischen Aromen des Merlots: Minze, viel reife rote Beeren, Pflaume, im Hintergrund Andeutungen von Tabak, Kaffee, Schokolade. Am Gaumen entfaltet sich eine reichaltige, elegante Mundfülle, die trotz der Extraktreichheit durchaus opulent, jedoch niemals marmeladig oder zu üppig wirkt.  Trotz seiner Jugend ist der Château Arbo, aufgrund der gut gelungenen Einbindung der kräftigen Tannine, bereits jetzt mit Genuss trinkbar und verspricht für die nächsten zehn bis fünfzehn Jahre eine wundervolle Reifung zu einem glorreichen Vin de Garde. Durch persönliche Vermittlung bin ich an eine Probeflasche dieses besonderen Rotweines gekommen und war sofort überzeugt, wieder einmal eine Perle für das divino-Sortiment aufgetan zu haben. Profitieren Sie jetzt von dem äußerst günstigen Einführungspreis dieses außergewöhnlichen Weines! Herkunftsland: Frankreich. Enthält Sulfite. Alkoholgehalt: 15,0%Vol. Verantwortlicher Lebensmittelunternehmer: Château Arbo | EARL Jorda | Route des Faucheries 13 | F-33570 Montagne Château Arbo "
8,2020 Cantina Trerè Cà More Ravenna Rosso I.G.T.,,Italien,Emilia-Romagna,Weißwein,,,,,,,,,,,,,,,,,,,,,,,,2,"divino goes Romagna: Trerè - die heiligen drei (Wein-) Könige aus dem ravennatischen Apennin! Die Familie Trerè besitzt 35 Hektar Weinberge in den Hügeln westlich von Faenza. Neben der Weinerzeugung wird noch ein kleiner Agriturismo betrieben. L'Arte del Vino - das ist der Claim von Morena und ihrem Sohn Massimo. Dementsprechend wurden auch die Flaschenetiketten von der Künstlerin Jona Sbarzaglia gestaltet. Das lebendige, vielversprechende Rubinrot dieses ungewöhnlichen Tropfens weckt sofort Assoziationen mit toskanischen Rotweinen - nicht von ungefähr, denn schließlich wird der Cà More aus je 50% Sangiovese und Syrah bereitet. Der Sangiovese verleiht der Cuvée die reifen, delikaten und eleganten Beerennoten, allen voran Kirsche, der Syrah die feine, kühle Würze und Vollmundigkeit. Das Ergebins ist ein reichhaltiger, einladender Rotwein voller wohlmeinender Gefälligkeit - im besten Sinne. Gönnt Euch das! Tipp: wer den Cà More mindestens zwei Stunden vor dem Genuss öffnet, wird mit einem besonders feinen, nuancenreichen Bukett und milder, weiniger Mundfülle belohnt. "
9,2019 Hermanos del Villar Gaudeamus Roble D.O. Ribera del Duero,,Spanien,Ribera del Duero,Rotwein,,Tempranillo,,,,,,,,,,,,,,,,,,,,,,2,"Von Rueda ins Duero-Tal: der Ausflug hat sich gelohnt! Tatsächlich: Originär stammt Hermanos del Villar aus Rueda, wo allerdings ausschließlich hervorragende Weißweine aus Verdejo und Sauvignon Blanc bereitet werden. Nun wollte Pablo del Villar sein Portfolio jedoch um einen schönen Rotwein erweitern. Was liegt da näher, als das benachbarte Tempranillo-Paradies Ribera del Duero? Hier ist er also, Gaudeamus, der erste Rotwein des Hauses: Ein Tinto Roble aus 100% Tempranillo, wegen der nur fünfmonatigen Barriquelagerung (je 1/3 der Marge in neuen, ein- bzw. zweijährigen Fässern) auch Semicrianza genannt. Das Ergebnis überzeugt sofort: voluminös, aber nicht fettig, in der Nase intensive Aromen nach dunklen, reifen Beeren, gepaart mit ganz milden Barriquetönen, am Gaumen vollmundig, fruchtig, mit sanften, gut eingebundenen Tanninen und leichter Mineralität. Das leckere Tröpfchen ist bereits erstaunlich reif und wird sich bestimmt noch weitere drei Jahre halten. Ich freue mich, Ihnen diesen wundervollen Rotwein zu einem besonders interessanten Preis anbieten zu können. Oder, wie der Lateiner sagt: Gaudeamus! Herkunftsland: Spanien. Enthält Sulfite. Alkoholgehalt: 13,5%Vol. Verantwortlicher Lebensmittelunternehmer: Hnos. del Villar | Calle Zarzillo | E-47490 Rueda "
10,"2018 Teanum ÒTRE Negroamaro ""Fish""",Cantina Teanum,Italien,Apulien,Rotwein,2018,Negroamaro,,,leichter Wein,,,,,,,"Fisch, Meeresfrüchte, Weichkäse",,,,,,,,,,,,2,"Teanum reaktiviert eine alte Tradition - leichter Rotwein statt Weißwein! Die Cantina Teanum ist eine ehemalige Winzervereinigung unter neuer Leitung - das junge Önologenteam bringt frischen Wind in die mittlerweile doch recht angestaubte Weinlandschaft Apuliens! Der Negroamaro wird nur sieben Tage auf der Maische belassen, dadurch ist er praktisch tanninfrei. Danach wird er im Grunde wie ein Weißwein behandelt. Das Ergebnis ist ein durchaus kühl zu trinkender, frisch-saftiger Rotwein, der sich beispielsweise gut zum Grillabend, zu kräftigem Fisch mit Kräutern oder zu Tapas eignet. Im Gegensatz zu leichten roten Norditalieneren fehlen ihm glücklicherweise komplett die Bittertöne von Bardolino, Valpolicella und Co; der Negroamaro ist darüber hinaus deutlich vollmundiger. "
