,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,datetime,link,local_id
0,0.0,0.0,0.0,0.0,1643101993.8867788,/DE/en/wines/15795520,847
1,1.0,1.0,1.0,1.0,1643101993.906794,/DE/en/wines/15795520,847
2,2.0,2.0,2.0,2.0,1643101993.91404,/DE/en/wines/43638096,847
3,3.0,3.0,3.0,3.0,1643102007.566428,/DE/en/wines/15795520,570
4,4.0,4.0,4.0,4.0,1643102007.570604,/DE/en/wines/15795520,570
5,5.0,5.0,5.0,5.0,1643102007.5741708,/DE/en/wines/43638096,570
6,6.0,6.0,6.0,6.0,1643102076.026274,/DE/en/wines/2230571,3
7,7.0,7.0,7.0,7.0,1643102076.030922,/DE/en/wines/2230571,3
8,8.0,8.0,8.0,8.0,1643102076.0344489,/DE/en/wines/3714957,3
9,9.0,9.0,9.0,9.0,1643102079.208286,/DE/en/wines/1856879,68
10,10.0,10.0,10.0,10.0,1643102079.212693,/DE/en/wines/1856879,68
11,11.0,11.0,11.0,11.0,1643102079.216222,/DE/en/wines/1657773,68
12,12.0,12.0,12.0,12.0,1643102081.680655,/DE/en/wines/3187326,937
13,13.0,13.0,13.0,13.0,1643102081.684581,/DE/en/wines/3187326,937
14,14.0,14.0,14.0,14.0,1643102081.688138,/DE/en/wines/124391195,937
15,15.0,15.0,15.0,15.0,1643102083.8603709,/DE/en/wines/1514728,401
16,16.0,16.0,16.0,16.0,1643102083.864361,/DE/en/wines/1514728,401
17,17.0,17.0,17.0,17.0,1643102083.867882,/DE/en/wines/163060532,401
18,18.0,18.0,18.0,18.0,1643102086.849225,/DE/en/wines/3572961,675
19,19.0,19.0,19.0,19.0,1643102086.853205,/DE/en/wines/3572961,675
20,20.0,20.0,20.0,20.0,1643102086.856736,/DE/en/wines/4901418,675
21,21.0,21.0,21.0,21.0,1643102089.163594,/DE/en/wines/2181419,31
22,22.0,22.0,22.0,22.0,1643102089.167577,/DE/en/wines/2181419,31
23,23.0,23.0,23.0,23.0,1643102089.171107,/DE/en/wines/9296878,31
24,24.0,24.0,24.0,24.0,1643102091.747766,/DE/en/wines/3092593,255
25,25.0,25.0,25.0,25.0,1643102091.752125,/DE/en/wines/3092593,255
26,26.0,26.0,26.0,26.0,1643102091.7560089,/DE/en/wines/2437313,255
27,27.0,27.0,27.0,27.0,1643102094.064102,/DE/en/wines/3092593,197
28,28.0,28.0,28.0,28.0,1643102094.068078,/DE/en/wines/3092593,197
29,29.0,29.0,29.0,29.0,1643102094.071612,/DE/en/wines/2437313,197
30,30.0,30.0,30.0,30.0,1643102096.833302,/DE/en/wines/3092593,813
31,31.0,31.0,31.0,31.0,1643102096.837545,/DE/en/wines/3092593,813
32,32.0,32.0,32.0,32.0,1643102096.841416,/DE/en/wines/2437313,813
33,33.0,33.0,33.0,33.0,1643102099.1445818,/DE/en/wines/3092593,796
34,34.0,34.0,34.0,34.0,1643102099.1496809,/DE/en/wines/3092593,796
35,35.0,35.0,35.0,35.0,1643102099.154182,/DE/en/wines/2437313,796
36,36.0,36.0,36.0,36.0,1643102102.389685,/DE/en/wines/4901412,596
37,37.0,37.0,37.0,37.0,1643102102.394421,/DE/en/wines/4901412,596
38,38.0,38.0,38.0,38.0,1643102102.3987122,/DE/en/wines/156693957,596
39,39.0,39.0,39.0,39.0,1643102104.9209611,/DE/en/wines/149987659,158
40,40.0,40.0,40.0,40.0,1643102104.924898,/DE/en/wines/149987659,158
41,41.0,41.0,41.0,41.0,1643102104.9284182,/DE/en/wines/157161705,158
42,42.0,42.0,42.0,42.0,1643102107.373334,/DE/en/wines/164943191,917
43,43.0,43.0,43.0,43.0,1643102107.3773592,/DE/en/wines/164943191,917
44,44.0,44.0,44.0,44.0,1643102107.380943,/DE/en/wines/6383857,917
45,45.0,45.0,45.0,45.0,1643102109.844673,/DE/en/wines/2469761,524
46,46.0,46.0,46.0,46.0,1643102109.848682,/DE/en/wines/2469761,524
47,47.0,47.0,47.0,47.0,1643102109.852265,/DE/en/wines/3091893,524
48,48.0,48.0,48.0,48.0,1643102112.162839,/DE/en/wines/166739749,387
49,49.0,49.0,49.0,49.0,1643102112.166824,/DE/en/wines/166739749,387
50,50.0,50.0,50.0,50.0,1643102112.170387,/DE/en/wines/16708273,387
51,51.0,51.0,51.0,51.0,1643102113.9916968,/DE/en/wines/156822446,104
52,52.0,52.0,52.0,52.0,1643102113.9956212,/DE/en/wines/156822446,104
53,53.0,53.0,53.0,53.0,1643102116.163423,/DE/en/wines/1557114,228
54,54.0,54.0,54.0,54.0,1643102116.167348,/DE/en/wines/1557114,228
55,55.0,55.0,55.0,55.0,1643102116.170891,/DE/en/wines/2195409,228
56,56.0,56.0,56.0,56.0,1643102118.7991848,/DE/en/wines/1557114,134
57,57.0,57.0,57.0,57.0,1643102118.803091,/DE/en/wines/1557114,134
