Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,datetime,link,local_id
0.0,0.0,0.0,0.0,1643101993.8867788,/DE/en/wines/15795520,847
2.0,2.0,2.0,2.0,1643101993.91404,/DE/en/wines/43638096,847
6.0,6.0,6.0,6.0,1643102076.026274,/DE/en/wines/2230571,3
8.0,8.0,8.0,8.0,1643102076.0344489,/DE/en/wines/3714957,3
9.0,9.0,9.0,9.0,1643102079.208286,/DE/en/wines/1856879,68
11.0,11.0,11.0,11.0,1643102079.216222,/DE/en/wines/1657773,68
12.0,12.0,12.0,12.0,1643102081.680655,/DE/en/wines/3187326,937
14.0,14.0,14.0,14.0,1643102081.688138,/DE/en/wines/124391195,937
15.0,15.0,15.0,15.0,1643102083.8603709,/DE/en/wines/1514728,401
17.0,17.0,17.0,17.0,1643102083.867882,/DE/en/wines/163060532,401
18.0,18.0,18.0,18.0,1643102086.849225,/DE/en/wines/3572961,675
20.0,20.0,20.0,20.0,1643102086.856736,/DE/en/wines/4901418,675
21.0,21.0,21.0,21.0,1643102089.163594,/DE/en/wines/2181419,31
23.0,23.0,23.0,23.0,1643102089.171107,/DE/en/wines/9296878,31
24.0,24.0,24.0,24.0,1643102091.747766,/DE/en/wines/3092593,255
26.0,26.0,26.0,26.0,1643102091.7560089,/DE/en/wines/2437313,255
36.0,36.0,36.0,36.0,1643102102.389685,/DE/en/wines/4901412,596
38.0,38.0,38.0,38.0,1643102102.3987122,/DE/en/wines/156693957,596
39.0,39.0,39.0,39.0,1643102104.9209611,/DE/en/wines/149987659,158
41.0,41.0,41.0,41.0,1643102104.9284182,/DE/en/wines/157161705,158
42.0,42.0,42.0,42.0,1643102107.373334,/DE/en/wines/164943191,917
44.0,44.0,44.0,44.0,1643102107.380943,/DE/en/wines/6383857,917
45.0,45.0,45.0,45.0,1643102109.844673,/DE/en/wines/2469761,524
47.0,47.0,47.0,47.0,1643102109.852265,/DE/en/wines/3091893,524
48.0,48.0,48.0,48.0,1643102112.162839,/DE/en/wines/166739749,387
50.0,50.0,50.0,50.0,1643102112.170387,/DE/en/wines/16708273,387
51.0,51.0,51.0,51.0,1643102113.9916968,/DE/en/wines/156822446,104
53.0,53.0,53.0,53.0,1643102116.163423,/DE/en/wines/1557114,228
55.0,55.0,55.0,55.0,1643102116.170891,/DE/en/wines/2195409,228
59.0,59.0,59.0,59.0,1643102121.2341702,/DE/en/wines/1856407,246
61.0,61.0,61.0,61.0,1643102121.241614,/DE/en/wines/7965711,246
65.0,65.0,65.0,65.0,1643102125.101569,/DE/en/wines/163790754,495
69.0,69.0,69.0,69.0,1643102129.513257,/DE/en/wines/4723202,260
71.0,71.0,71.0,71.0,1643102129.520996,/DE/en/wines/4723220,260
72.0,72.0,72.0,72.0,1643102131.640062,/DE/en/wines/2258707,374
74.0,74.0,74.0,74.0,1643102131.647973,/DE/en/wines/4729992,374
78.0,78.0,78.0,78.0,1643102136.042374,/DE/en/wines/155767209,162
80.0,80.0,80.0,80.0,1643102136.051557,/DE/en/wines/165917065,162
84.0,84.0,84.0,84.0,1643102140.398575,/DE/en/wines/3899337,1
86.0,86.0,86.0,86.0,1643102142.968634,/DE/en/wines/4729383,566
88.0,88.0,88.0,88.0,1643102142.983118,/DE/en/wines/4276140,566
92.0,92.0,92.0,92.0,1643102148.060575,/DE/en/wines/144172959,633
94.0,94.0,94.0,94.0,1643102148.070466,/DE/en/wines/1897136,633
98.0,98.0,98.0,98.0,1643102154.562877,/DE/en/wines/4820573,640
100.0,100.0,100.0,100.0,1643102154.586602,/DE/en/wines/23729404,640
101.0,101.0,101.0,101.0,1643102157.589859,/DE/en/wines/167191462,364
103.0,103.0,103.0,103.0,1643102157.608664,/DE/en/wines/9609853,364
104.0,104.0,104.0,104.0,1643102160.1981828,/DE/en/wines/4851685,864
106.0,106.0,106.0,106.0,1643102160.227896,/DE/en/wines/4225307,864
113.0,113.0,113.0,113.0,1643102168.547758,/DE/en/wines/6408051,542
115.0,115.0,115.0,115.0,1643102168.557347,/DE/en/wines/2725682,542
119.0,119.0,119.0,119.0,1643102172.991851,/DE/en/wines/150728136,586
121.0,121.0,121.0,121.0,1643102173.000514,/DE/en/wines/156854191,586
128.0,128.0,128.0,128.0,1643102180.064212,/DE/en/wines/4485278,517
130.0,130.0,130.0,130.0,1643102180.073062,/DE/en/wines/2582533,517
131.0,131.0,131.0,131.0,1643102182.648741,/DE/en/wines/3487935,125
133.0,133.0,133.0,133.0,1643102182.66396,/DE/en/wines/164487842,125
134.0,134.0,134.0,134.0,1643102184.873445,/DE/en/wines/156541290,869
136.0,136.0,136.0,136.0,1643102184.886555,/DE/en/wines/149887448,869
140.0,140.0,140.0,140.0,1643102189.1875122,/DE/en/wines/168101807,43
142.0,142.0,142.0,142.0,1643102189.195414,/DE/en/wines/2702607,43
143.0,143.0,143.0,143.0,1643102191.239176,/DE/en/wines/4901401,620
149.0,149.0,149.0,149.0,1643102195.765461,/DE/en/wines/43636341,876
170.0,170.0,170.0,170.0,1643102212.0773911,/DE/en/wines/2537027,537
172.0,172.0,172.0,172.0,1643102212.085761,/DE/en/wines/4903784,537
173.0,173.0,173.0,173.0,1643102213.864966,/DE/en/wines/2280566,896
175.0,175.0,175.0,175.0,1643102213.872512,/DE/en/wines/1936991,896
181.0,181.0,181.0,,1643109258.8682098,/DE/de/wines/4723202,61
183.0,183.0,183.0,,1643109258.886812,/DE/de/wines/4723220,61
